Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,1.81E-11,4.38E-08,1.19E-05,0.00720209,0.991175,0.00077987,0.00077987,2.54806E-05,2.54806E-05,6.23595E-08,6.23595E-08,1.04E-10,2.07E-13,1.97E-17,5.20E-11,5.20E-11,1.04E-13,1.04E-13,1.92E-17,1.39E-08,1.39E-08,2.27E-10,2.27E-10,6.87E-14,6.87E-14,3.33E-13,3.33194E-13
0.008,2.83E-10,3.46E-07,4.70E-05,0.0142389,0.9826,0.00145916,0.00145916,0.000097146,0.000097146,4.791E-07,4.791E-07,1.60E-09,7.08E-12,3.76E-15,8.00E-10,8.00E-10,3.58E-12,3.58E-12,3.80E-15,1.04E-07,1.04E-07,3.41E-09,3.41E-09,2.22E-12,2.22E-12,1.11E-11,1.10907E-11
0.012,1.40E-09,1.15E-06,0.000104489,0.0211145,0.974259,0.002050225,0.002050225,0.000208511,0.000208511,1.55359E-06,1.55359E-06,7.83E-09,5.24E-11,4.28E-14,3.91E-09,3.91E-09,2.67E-11,2.67E-11,4.35E-14,3.28E-07,3.28E-07,1.63E-08,1.63E-08,1.58E-11,1.58E-11,8.06E-11,8.0633E-11
0.016,4.33E-09,2.71E-06,0.000183474,0.0278331,0.966136,0.00256392,0.00256392,0.000353901,0.000353901,3.54005E-06,3.54005E-06,2.39E-08,2.14E-10,2.34E-13,1.19E-08,1.19E-08,1.10E-10,1.10E-10,2.38E-13,7.27E-07,7.27E-07,4.88E-08,4.88E-08,6.23E-11,6.23E-11,3.24E-10,3.24387E-10
0.02,1.04E-08,5.22E-06,0.000283165,0.0343983,0.958221,0.003009775,0.003009775,0.000528355,0.000528355,0.00000665,0.00000665,5.64E-08,6.35E-10,8.61E-13,2.81E-08,2.81E-08,3.26E-10,3.26E-10,8.82E-13,1.33E-06,1.33E-06,1.13E-07,1.13E-07,1.78E-10,1.78E-10,9.45E-10,9.45125E-10
0.024,2.10E-08,8.92E-06,0.000402777,0.040814,0.9505,0.00339614,0.00339614,0.000727545,0.000727545,1.10577E-05,1.10577E-05,1.13E-07,1.53E-09,2.49E-12,5.63E-08,5.63E-08,7.91E-10,7.91E-10,2.55E-12,2.15E-06,2.15E-06,2.22E-07,2.22E-07,4.14E-10,4.14E-10,2.25E-09,2.24613E-09
0.028,3.81E-08,1.40E-05,0.000541552,0.0470836,0.942963,0.00373037,0.00373037,0.000947685,0.000947685,1.69052E-05,1.69052E-05,2.03E-07,3.22E-09,6.06E-12,1.01E-07,1.01E-07,1.67E-09,1.67E-09,6.25E-12,3.21E-06,3.21E-06,3.89E-07,3.89E-07,8.39E-10,8.39E-10,4.64E-09,4.63872E-09
0.032,6.36E-08,2.07E-05,0.000698753,0.0532107,0.935601,0.004018905,0.004018905,0.001185465,0.001185465,2.43065E-05,2.43065E-05,3.34E-07,6.09E-09,1.30E-11,1.66E-07,1.66E-07,3.17E-09,3.17E-09,1.35E-11,4.50E-06,4.50E-06,6.30E-07,6.30E-07,1.53E-09,1.53E-09,8.65E-09,8.64525E-09
0.036,9.97E-08,2.91E-05,0.000873667,0.0591985,0.928406,0.004267405,0.004267405,0.001438,0.001438,3.33513E-05,3.33513E-05,5.18E-07,1.07E-08,2.55E-11,2.58E-07,2.58E-07,5.56E-09,5.56E-09,2.65E-11,6.02E-06,6.02E-06,9.58E-07,9.58E-07,2.59E-09,2.59E-09,1.49E-08,1.48988E-08
0.04,1.49E-07,3.95E-05,0.0010656,0.0650502,0.921369,0.00448083,0.00448083,0.001702785,0.001702785,4.41083E-05,4.41083E-05,7.64E-07,1.75E-08,4.65E-11,3.80E-07,3.80E-07,9.18E-09,9.18E-09,4.84E-11,7.76E-06,7.76E-06,1.39E-06,1.39E-06,4.12E-09,4.12E-09,2.41E-08,2.41399E-08
0.044,2.13E-07,5.20E-05,0.0012739,0.070769,0.914484,0.004663545,0.004663545,0.001977625,0.001977625,0.000056628,0.000056628,1.08E-06,2.75E-08,7.96E-11,5.38E-07,5.38E-07,1.44E-08,1.44E-08,8.31E-11,9.71E-06,9.71E-06,1.93E-06,1.93E-06,6.23E-09,6.23E-09,3.72E-08,3.72122E-08
0.048,2.96E-07,6.67E-05,0.00149789,0.0763579,0.907743,0.004819375,0.004819375,0.00226061,0.00226061,0.000070946,0.000070946,1.49E-06,4.12E-08,1.30E-10,7.38E-07,7.38E-07,2.17E-08,2.17E-08,1.36E-10,1.19E-05,1.19E-05,2.60E-06,2.60E-06,9.05E-09,9.05E-09,5.51E-08,5.50555E-08
0.052,3.99E-07,8.39E-05,0.00173696,0.0818198,0.901142,0.004951675,0.004951675,0.002550085,0.002550085,0.000087083,0.000087083,1.98E-06,5.98E-08,2.03E-10,9.84E-07,9.84E-07,3.15E-08,3.15E-08,2.13E-10,1.42E-05,1.42E-05,3.40E-06,3.40E-06,1.27E-08,1.27E-08,7.87E-08,7.8698E-08
0.056,5.26E-07,0.000103579,0.00199051,0.0871575,0.894674,0.0050634,0.0050634,0.002844605,0.002844605,0.00010505,0.00010505,2.59E-06,8.43E-08,3.06E-10,1.28E-06,1.28E-06,4.45E-08,4.45E-08,3.22E-10,1.67E-05,1.67E-05,4.35E-06,4.35E-06,1.73E-08,1.73E-08,1.09E-07,1.0925E-07
0.06,6.78E-07,0.000125987,0.00225792,0.0923738,0.888335,0.0051571,0.0051571,0.003142925,0.003142925,0.000124846,0.000124846,3.30E-06,1.16E-07,4.48E-10,1.64E-06,1.64E-06,6.13E-08,6.13E-08,4.72E-10,1.94E-05,1.94E-05,5.46E-06,5.46E-06,2.30E-08,2.30E-08,1.48E-07,1.47893E-07
0.064,8.60E-07,0.000151213,0.00253865,0.0974715,0.88212,0.0052351,0.0052351,0.003443955,0.003443955,0.000146464,0.000146464,4.15E-06,1.56E-07,6.39E-10,2.05E-06,2.05E-06,8.25E-08,8.25E-08,6.75E-10,2.23E-05,2.23E-05,6.74E-06,6.74E-06,2.99E-08,2.99E-08,1.96E-07,1.95875E-07
0.068,1.07E-06,0.000179377,0.00283212,0.102453,0.876024,0.0052994,0.0052994,0.003746765,0.003746765,0.000169888,0.000169888,5.13E-06,2.05E-07,8.90E-10,2.54E-06,2.54E-06,1.09E-07,1.09E-07,9.41E-10,2.52E-05,2.52E-05,8.19E-06,8.19E-06,3.81E-08,3.81E-08,2.54E-07,2.54497E-07
0.072,1.32E-06,0.000210592,0.00313781,0.107321,0.870045,0.00535165,0.00535165,0.00405054,0.00405054,0.000195097,0.000195097,6.26E-06,2.66E-07,1.21E-09,3.09E-06,3.09E-06,1.41E-07,1.41E-07,1.29E-09,2.83E-05,2.83E-05,9.81E-06,9.81E-06,4.78E-08,4.78E-08,3.25E-07,3.25111E-07
0.076,1.61E-06,0.000244963,0.0034552,0.112078,0.864177,0.0053935,0.0053935,0.004354585,0.004354585,0.000222064,0.000222064,7.54E-06,3.39E-07,1.63E-09,3.73E-06,3.73E-06,1.81E-07,1.81E-07,1.73E-09,3.15E-05,3.15E-05,1.16E-05,1.16E-05,5.91E-08,5.91E-08,4.09E-07,4.09108E-07
0.08,1.93E-06,0.000282592,0.00378378,0.116726,0.858418,0.0054262,0.0054262,0.004658295,0.004658295,0.00025076,0.00025076,8.99E-06,4.26E-07,2.14E-09,4.44E-06,4.44E-06,2.28E-07,2.28E-07,2.28E-09,3.48E-05,3.48E-05,1.36E-05,1.36E-05,7.21E-08,7.21E-08,5.08E-07,5.0791E-07
0.084,2.30E-06,0.000323571,0.00412306,0.121268,0.852765,0.005451,0.005451,0.00496116,0.00496116,0.000281149,0.000281149,1.06E-05,5.30E-07,2.78E-09,5.24E-06,5.24E-06,2.83E-07,2.83E-07,2.96E-09,3.82E-05,3.82E-05,1.58E-05,1.58E-05,8.69E-08,8.69E-08,6.23E-07,6.22965E-07
0.088,2.72E-06,0.000367989,0.00447256,0.125706,0.847214,0.0054689,0.0054689,0.00526275,0.00526275,0.000313196,0.000313196,1.24E-05,6.52E-07,3.56E-09,6.12E-06,6.12E-06,3.49E-07,3.49E-07,3.80E-09,4.16E-05,4.16E-05,1.82E-05,1.82E-05,1.04E-07,1.04E-07,7.56E-07,7.5574E-07
