Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0.0019941,0.989011,0.00897663,1.85E-05,8.52E-08,2.18E-11,2.18E-11,2.95E-13,2.95E-13,-2.18E-16,-2.18E-16,-4.12E-18,-3.11E-20,-1.73E-23,-2.05E-18,-2.05E-18,-1.58E-20,-1.58E-20,-1.72E-23,-3.53E-17,-3.53E-17,-8.50E-18,-8.50E-18,-9.67E-21,-9.67E-21,-4.86E-20,-4.86451E-20
0.01,0.003813,0.978417,0.0176967,7.30E-05,6.72E-07,3.31E-10,3.31E-10,1.06E-11,1.06E-11,2.95E-14,2.95E-14,3.92E-17,-2.50E-19,-6.27E-22,1.96E-17,1.96E-17,-1.31E-19,-1.31E-19,-6.43E-22,6.61E-15,6.61E-15,9.14E-17,9.14E-17,-5.82E-20,-5.82E-20,-3.45E-19,-3.44741E-19
0.015,0.00547097,0.968197,0.0261683,0.000161756,2.24E-06,1.61E-09,1.61E-09,7.83E-11,7.83E-11,3.54E-13,3.54E-13,1.21E-15,5.56E-18,2.76E-21,6.04E-16,6.04E-16,2.81E-18,2.81E-18,2.77E-21,7.67E-14,7.67E-14,2.57E-15,2.57E-15,1.75E-18,1.75E-18,8.72E-18,8.72145E-18
0.02,0.00698113,0.958331,0.0343994,0.000283168,5.22E-06,4.87E-09,4.87E-09,3.18E-10,3.18E-10,1.94E-12,1.94E-12,9.10E-15,6.10E-17,5.16E-20,4.54E-15,4.54E-15,3.10E-17,3.10E-17,5.24E-20,4.12E-13,4.12E-13,1.90E-14,1.90E-14,1.83E-17,1.83E-17,9.37E-17,9.3676E-17
0.025,0.00835555,0.948801,0.0423974,0.000435714,1.01E-05,1.14E-08,1.14E-08,9.36E-10,9.36E-10,7.17E-12,7.17E-12,4.25E-14,3.63E-16,3.94E-19,2.12E-14,2.12E-14,1.86E-16,1.86E-16,4.02E-19,1.49E-12,1.49E-12,8.71E-14,8.71E-14,1.06E-16,1.06E-16,5.50E-16,5.4963E-16
0.03,0.00960535,0.93959,0.0501695,0.000617918,1.71E-05,2.27E-08,2.27E-08,2.25E-09,2.25E-09,2.07E-11,2.07E-11,1.48E-13,1.54E-15,2.05E-18,7.39E-14,7.39E-14,7.91E-16,7.91E-16,2.10E-18,4.23E-12,4.23E-12,2.99E-13,2.99E-13,4.33E-16,4.33E-16,2.30E-15,2.29846E-15
0.035,0.0107407,0.930681,0.0577228,0.000828366,2.68E-05,4.05E-08,4.05E-08,4.69E-09,4.69E-09,5.05E-11,5.05E-11,4.23E-13,5.16E-15,8.02E-18,2.11E-13,2.11E-13,2.66E-15,2.66E-15,8.24E-18,1.01E-11,1.01E-11,8.40E-13,8.40E-13,1.41E-15,1.41E-15,7.59E-15,7.589E-15
0.04,0.0117711,0.92206,0.0650637,0.0010657,3.95E-05,6.64E-08,6.64E-08,8.82E-09,8.82E-09,1.09E-10,1.09E-10,1.04E-12,1.46E-14,2.59E-17,5.20E-13,5.20E-13,7.55E-15,7.55E-15,2.67E-17,2.14E-11,2.14E-11,2.04E-12,2.04E-12,3.87E-15,3.87E-15,2.12E-14,2.12083E-14
0.045,0.0127051,0.913712,0.0721989,0.00132861,5.54E-05,1.02E-07,1.02E-07,1.54E-08,1.54E-08,2.13E-10,2.13E-10,2.31E-12,3.65E-14,7.25E-17,1.15E-12,1.15E-12,1.89E-14,1.89E-14,7.50E-17,4.13E-11,4.13E-11,4.44E-12,4.44E-12,9.39E-15,9.39E-15,5.22E-14,5.22395E-14
