Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.005,-6.11E-27,-7.88E-24,2.09E-21,9.66E-18,8.85E-15,3.44E-13,3.44E-13,8.49E-10,8.49E-10,2.43E-07,2.43E-07,5.04E-10,1.38E-12,4.58E-16,1.76E-04,1.76E-04,3.82E-02,3.82E-02,0.92307,5.36045E-10,5.36045E-10,1.04587E-06,1.04587E-06,3.84354E-05,3.84354E-05,2.45697E-07,2.45697E-07
0.01,1.74E-24,4.49E-21,1.51E-18,1.48E-15,5.71E-13,1.06E-11,1.06E-11,1.33E-08,1.33E-08,1.88E-06,1.88E-06,7.82E-09,4.34E-11,2.96E-14,6.76E-04,6.76E-04,7.31E-02,7.31E-02,0.852211,7.8908E-09,7.8908E-09,7.8432E-06,7.8432E-06,0.000141489,0.000141489,1.91946E-06,1.91946E-06
0.015,1.07E-22,1.76E-19,3.83E-17,2.46E-14,6.27E-12,7.72E-11,7.72E-11,6.60E-08,6.60E-08,6.13E-06,6.13E-06,3.84E-08,3.20E-10,3.27E-13,1.47E-03,1.47E-03,1.05E-01,1.05E-01,0.786941,3.68004E-08,3.68004E-08,2.48353E-05,2.48353E-05,0.000293274,0.000293274,6.32435E-06,6.32435E-06
0.02,1.87E-21,2.29E-18,3.71E-16,1.78E-13,3.39E-11,3.11E-10,3.11E-10,2.04E-07,2.04E-07,1.41E-05,1.41E-05,1.18E-07,1.31E-09,1.77E-12,2.51E-03,2.51E-03,1.34E-01,1.34E-01,0.726819,1.07244E-07,1.07244E-07,5.52785E-05,5.52785E-05,0.000480791,0.000480791,1.46313E-05,1.46313E-05
0.025,1.69E-20,1.65E-17,2.14E-15,8.20E-13,1.24E-10,9.10E-10,9.10E-10,4.87E-07,4.87E-07,2.65E-05,2.65E-05,2.79E-07,3.90E-09,6.54E-12,3.78E-03,3.78E-03,1.60E-01,1.60E-01,0.671437,2.41638E-07,2.41638E-07,0.000101469,0.000101469,0.000693455,0.000693455,2.78847E-05,2.78847E-05
0.03,1.01E-19,8.28E-17,8.89E-15,2.83E-12,3.57E-10,2.17E-09,2.17E-09,9.87E-07,9.87E-07,4.44E-05,4.44E-05,5.61E-07,9.45E-09,1.89E-11,5.24E-03,5.24E-03,1.83E-01,1.83E-01,0.62042,4.62838E-07,4.62838E-07,0.000164926,0.000164926,0.000922695,0.000922695,4.70086E-05,4.70086E-05
0.035,4.55E-19,3.21E-16,2.95E-14,8.04E-12,8.67E-10,4.49E-09,4.49E-09,1.79E-06,1.79E-06,6.82E-05,6.82E-05,1.01E-06,1.99E-08,4.60E-11,6.88E-03,6.88E-03,2.05E-01,2.05E-01,0.573422,7.9276E-07,7.9276E-07,0.000246549,0.000246549,0.001161615,0.001161615,0.000072813,0.000072813
0.04,1.67E-18,1.04E-15,8.30E-14,1.98E-11,1.86E-09,8.38E-09,8.38E-09,2.98E-06,2.98E-06,9.84E-05,9.84E-05,1.67E-06,3.77E-08,9.89E-11,8.66E-03,8.66E-03,2.24E-01,2.24E-01,0.530125,1.25147E-06,1.25147E-06,0.000346749,0.000346749,0.001404725,0.001404725,0.000106002,0.000106002
0.045,5.23E-18,2.90E-15,2.06E-13,4.35E-11,3.62E-09,1.45E-08,1.45E-08,4.66E-06,4.66E-06,1.36E-04,1.36E-04,2.59E-06,6.62E-08,1.94E-10,1.06E-02,1.06E-02,2.42E-01,2.42E-01,0.490236,1.85665E-06,1.85665E-06,0.00046555,0.00046555,0.00164768,0.00164768,0.000147178,0.000147178
