Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,-9.85E-28,-2.63E-24,-1.88E-22,1.58E-18,2.21E-15,1.12E-13,1.12E-13,3.47E-10,3.47E-10,1.25E-07,1.25E-07,0.000226869,0.0618186,0.937954,1.03964E-10,1.03964E-10,2.26004E-13,2.26004E-13,1.14E-16,1.12E-13,1.12E-13,1.22E-15,1.22E-15,5.71E-17,5.71E-17,6.78E-14,6.7813E-14
0.008,1.23E-25,5.11E-22,2.39E-19,3.06E-16,1.50E-13,3.49E-12,3.49E-12,5.42E-09,5.42E-09,9.78E-07,9.78E-07,0.00088167,0.119259,0.879858,1.62279E-09,1.62279E-09,7.1772E-12,7.1772E-12,7.84E-15,3.49E-12,3.49E-12,8.27E-14,8.27E-14,3.89E-15,3.89E-15,2.15E-12,2.15221E-12
0.012,1.12E-23,2.33E-20,6.42E-18,5.19E-15,1.66E-12,2.55E-11,2.55E-11,2.68E-08,2.68E-08,3.22E-06,3.22E-06,0.0019277,0.172608,0.825458,8.01775E-09,8.01775E-09,5.33655E-11,5.33655E-11,8.74E-14,2.55E-11,2.55E-11,9.17E-13,9.17E-13,4.32E-14,4.32E-14,1.60E-11,1.59938E-11
0.016,2.01E-22,3.08E-19,6.28E-17,3.78E-14,8.99E-12,1.03E-10,1.03E-10,8.29E-08,8.29E-08,7.43E-06,7.43E-06,0.00333079,0.222134,0.77452,2.47336E-08,2.47336E-08,2.20036E-10,2.20036E-10,4.78E-13,1.03E-10,1.03E-10,4.98E-12,4.98E-12,2.35E-13,2.35E-13,6.59E-11,6.5911E-11
0.02,1.84E-21,2.25E-18,3.64E-16,1.74E-13,3.31E-11,3.03E-10,3.03E-10,1.98E-07,1.98E-07,1.41E-05,1.41E-05,0.00505915,0.26809,0.726822,5.89455E-08,5.89455E-08,6.57E-10,6.57E-10,1.77E-12,3.03E-10,3.03E-10,1.84E-11,1.84E-11,8.69E-13,8.69E-13,1.97E-10,1.96705E-10
0.024,1.11E-20,1.13E-17,1.52E-15,6.05E-13,9.55E-11,7.25E-10,7.25E-10,4.01E-07,4.01E-07,2.38E-05,2.38E-05,0.00708321,0.310711,0.682157,1.19327E-07,1.19327E-07,1.59963E-09,1.59963E-09,5.15E-12,7.25E-10,7.25E-10,5.31E-11,5.31E-11,2.52E-12,2.52E-12,4.79E-10,4.787E-10
0.028,5.02E-20,4.40E-17,5.06E-15,1.73E-12,2.33E-10,1.51E-09,1.51E-09,7.26E-07,7.26E-07,3.69E-05,3.69E-05,0.00937545,0.350216,0.640333,2.15837E-07,2.15837E-07,3.3832E-09,3.3832E-09,1.26E-11,1.51E-09,1.51E-09,1.30E-10,1.30E-10,6.15E-12,6.15E-12,1.01E-09,1.012E-09
0.032,1.85E-19,1.42E-16,1.43E-14,4.25E-12,5.01E-10,2.83E-09,2.83E-09,1.21E-06,1.21E-06,5.37E-05,5.37E-05,0.0119103,0.386813,0.601167,3.59529E-07,3.59529E-07,6.45495E-09,6.45495E-09,2.74E-11,2.83E-09,2.83E-09,2.80E-10,2.80E-10,1.33E-11,1.33E-11,1.93E-09,1.93003E-09
0.036,5.83E-19,4.00E-16,3.56E-14,9.40E-12,9.81E-10,4.91E-09,4.91E-09,1.90E-06,1.90E-06,7.45E-05,7.45E-05,0.014664,0.420692,0.56449,5.6237E-07,5.6237E-07,1.13841E-08,1.13841E-08,5.40E-11,4.91E-09,4.91E-09,5.49E-10,5.49E-10,2.61E-11,2.61E-11,3.40E-09,3.40246E-09
