Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,-7.46E-27,-1.02E-23,1.64E-21,9.39E-18,8.76E-15,3.41E-13,3.41E-13,8.42E-10,8.42E-10,2.43E-07,2.43E-07,0.00035193,0.0765776,0.92307,2.52232E-10,2.52232E-10,6.9166E-13,6.9166E-13,4.56E-16,3.41E-13,3.41E-13,4.84E-15,4.84E-15,2.27E-16,2.27E-16,2.08E-13,2.07501E-13
0.01,1.74E-24,4.46E-21,1.50E-18,1.47E-15,5.64E-13,1.05E-11,1.05E-11,1.31E-08,1.31E-08,1.88E-06,1.88E-06,0.00135797,0.146427,0.852211,3.91385E-09,3.91385E-09,2.16792E-11,2.16792E-11,2.96E-14,1.05E-11,1.05E-11,3.12E-13,3.12E-13,1.47E-14,1.47E-14,6.50E-12,6.49905E-12
0.015,1.06E-22,1.73E-19,3.77E-17,2.42E-14,6.15E-12,7.56E-11,7.56E-11,6.44E-08,6.44E-08,6.16E-06,6.16E-06,0.00294832,0.210097,0.786942,1.9222E-08,1.9222E-08,1.60221E-10,1.60221E-10,3.27E-13,7.56E-11,7.56E-11,3.41E-12,3.41E-12,1.61E-13,1.61E-13,4.80E-11,4.79997E-11
0.02,1.84E-21,2.25E-18,3.64E-16,1.74E-13,3.31E-11,3.03E-10,3.03E-10,1.98E-07,1.98E-07,1.41E-05,1.41E-05,0.00505915,0.26809,0.726822,5.89455E-08,5.89455E-08,6.57E-10,6.57E-10,1.77E-12,3.03E-10,3.03E-10,1.84E-11,1.84E-11,8.70E-13,8.70E-13,1.97E-10,1.96705E-10
0.025,1.65E-20,1.62E-17,2.09E-15,7.99E-13,1.21E-10,8.81E-10,8.81E-10,4.69E-07,4.69E-07,2.67E-05,2.67E-05,0.00763216,0.320871,0.671442,1.39653E-07,1.39653E-07,1.95121E-09,1.95121E-09,6.54E-12,8.81E-10,8.81E-10,6.73E-11,6.73E-11,3.19E-12,3.19E-12,5.84E-10,5.83845E-10
0.03,9.86E-20,8.08E-17,8.66E-15,2.75E-12,3.46E-10,2.09E-09,2.09E-09,9.46E-07,9.46E-07,4.48E-05,4.48E-05,0.0106141,0.368866,0.620428,2.81057E-07,2.81057E-07,4.72545E-09,4.72545E-09,1.89E-11,2.09E-09,2.09E-09,1.93E-10,1.93E-10,9.15E-12,9.15E-12,1.41E-09,1.4132E-09
0.035,4.43E-19,3.12E-16,2.86E-14,7.78E-12,8.36E-10,4.30E-09,4.30E-09,1.71E-06,1.71E-06,6.89E-05,6.89E-05,0.0139563,0.412467,0.573434,5.0543E-07,5.0543E-07,9.9417E-09,9.9417E-09,4.59E-11,4.30E-09,4.30E-09,4.67E-10,4.67E-10,2.22E-11,2.22E-11,2.97E-09,2.97166E-09
0.04,1.62E-18,1.00E-15,8.03E-14,1.90E-11,1.78E-09,8.00E-09,8.00E-09,2.83E-06,2.83E-06,9.96E-05,9.96E-05,0.0176145,0.452036,0.530143,8.3709E-07,8.3709E-07,1.88693E-08,1.88693E-08,9.89E-11,8.00E-09,8.00E-09,1.00E-09,1.00E-09,4.76E-11,4.76E-11,5.64E-09,5.6375E-09
0.045,5.07E-18,2.80E-15,1.99E-13,4.18E-11,3.47E-09,1.38E-08,1.38E-08,4.41E-06,4.41E-06,1.38E-04,1.38E-04,0.0215482,0.487905,0.490261,1.30192E-06,1.30192E-06,3.31058E-08,3.31058E-08,1.94E-10,1.38E-08,1.38E-08,1.95E-09,1.95E-09,9.28E-11,9.28E-11,9.89E-09,9.88655E-09
0.05,1.40E-17,6.98E-15,4.45E-13,8.40E-11,6.26E-09,2.22E-08,2.22E-08,6.54E-06,6.54E-06,1.83E-04,1.83E-04,0.0257206,0.520378,0.453518,1.92696E-06,1.92696E-06,5.45915E-08,5.45915E-08,3.53E-10,2.22E-08,2.22E-08,3.52E-09,3.52E-09,1.68E-10,1.68E-10,1.63E-08,1.62964E-08
0.055,3.49E-17,1.59E-14,9.19E-13,1.57E-10,1.06E-08,3.42E-08,3.42E-08,9.31E-06,9.31E-06,2.36E-04,2.36E-04,0.0300982,0.549738,0.419667,2.74008E-06,2.74008E-06,8.562E-08,8.562E-08,6.04E-10,3.42E-08,3.42E-08,6.00E-09,6.00E-09,2.86E-10,2.86E-10,2.55E-08,2.55493E-08
0.06,8.02E-17,3.37E-14,1.78E-12,2.78E-10,1.72E-08,5.05E-08,5.05E-08,1.28E-05,1.28E-05,2.97E-04,2.97E-04,0.0346505,0.576243,0.388479,3.7696E-06,3.7696E-06,1.28841E-07,1.28841E-07,9.84E-10,5.05E-08,5.05E-08,9.72E-09,9.72E-09,4.65E-10,4.65E-10,3.84E-08,3.84333E-08
0.065,1.72E-16,6.69E-14,3.25E-12,4.69E-10,2.67E-08,7.19E-08,7.19E-08,1.72E-05,1.72E-05,3.67E-04,3.67E-04,0.0393497,0.600129,0.359743,5.04405E-06,5.04405E-06,1.87261E-07,1.87261E-07,1.54E-09,7.19E-08,7.19E-08,1.51E-08,1.51E-08,7.23E-10,7.23E-10,5.58E-08,5.58425E-08
0.07,3.47E-16,1.26E-13,5.67E-12,7.59E-10,4.00E-08,9.96E-08,9.96E-08,2.25E-05,2.25E-05,4.44E-04,4.44E-04,0.0441707,0.621617,0.333265,6.59195E-06,6.59195E-06,2.64243E-07,2.64243E-07,2.32E-09,9.96E-08,9.96E-08,2.27E-08,2.27E-08,1.09E-09,1.09E-09,7.88E-08,7.87765E-08
0.075,6.67E-16,2.27E-13,9.51E-12,1.18E-09,5.81E-08,1.34E-07,1.34E-07,2.89E-05,2.89E-05,5.30E-04,5.30E-04,0.0490907,0.640906,0.308867,8.44145E-06,8.44145E-06,3.63497E-07,3.63497E-07,3.39E-09,1.35E-07,1.35E-07,3.30E-08,3.30E-08,1.58E-09,1.58E-09,1.08E-07,1.08339E-07
0.08,1.23E-15,3.92E-13,1.54E-11,1.79E-09,8.23E-08,1.78E-07,1.78E-07,3.64E-05,3.64E-05,6.24E-04,6.24E-04,0.054089,0.658182,0.286385,1.06204E-05,1.06204E-05,4.89072E-07,4.89072E-07,4.84E-09,1.78E-07,1.78E-07,4.69E-08,4.69E-08,2.25E-09,2.25E-09,1.46E-07,1.45733E-07
