Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0.92307,0.0765776,0.00035193,4.87E-07,1.69E-09,3.42E-13,3.42E-13,4.38E-15,4.38E-15,4.70E-18,4.70E-18,1.64E-21,-1.02E-23,-7.46E-27,8.19E-22,8.19E-22,-5.18E-24,-5.18E-24,-7.52E-27,1.07E-18,1.07E-18,3.84E-21,3.84E-21,-3.10E-24,-3.10E-24,-1.58E-23,-1.57734E-23
0.01,0.852211,0.146427,0.00135797,3.78E-06,2.62E-08,1.05E-11,1.05E-11,2.82E-13,2.82E-13,7.33E-16,7.33E-16,1.50E-18,4.46E-21,1.74E-24,7.48E-19,7.48E-19,2.25E-21,2.25E-21,1.76E-24,1.62E-16,1.62E-16,3.23E-18,3.23E-18,1.42E-21,1.42E-21,7.04E-21,7.0405E-21
0.015,0.786942,0.210097,0.00294832,1.24E-05,1.29E-07,7.58E-11,7.58E-11,3.08E-12,3.08E-12,1.21E-14,1.21E-14,3.77E-17,1.73E-19,1.06E-22,1.88E-17,1.88E-17,8.77E-20,8.77E-20,1.07E-22,2.64E-15,2.64E-15,8.01E-17,8.01E-17,5.37E-20,5.37E-20,2.70E-19,2.69886E-19
0.02,0.726822,0.26809,0.00505915,2.84E-05,3.97E-07,3.04E-10,3.04E-10,1.66E-11,1.66E-11,8.72E-14,8.72E-14,3.64E-16,2.25E-18,1.84E-21,1.82E-16,1.82E-16,1.14E-18,1.14E-18,1.86E-21,1.87E-14,1.87E-14,7.62E-16,7.62E-16,6.77E-19,6.77E-19,3.46E-18,3.45709E-18
0.025,0.671442,0.320871,0.00763216,5.38E-05,9.45E-07,8.86E-10,8.86E-10,6.06E-11,6.06E-11,4.00E-13,4.00E-13,2.09E-15,1.62E-17,1.65E-20,1.04E-15,1.04E-15,8.27E-18,8.27E-18,1.69E-20,8.42E-14,8.42E-14,4.32E-15,4.32E-15,4.75E-18,4.75E-18,2.46E-17,2.46258E-17
0.03,0.620428,0.368866,0.0106141,9.01E-05,1.91E-06,2.10E-09,2.10E-09,1.74E-10,1.74E-10,1.38E-12,1.38E-12,8.66E-15,8.08E-17,9.86E-20,4.32E-15,4.32E-15,4.14E-17,4.14E-17,1.01E-19,2.85E-13,2.85E-13,1.76E-14,1.76E-14,2.31E-17,2.31E-17,1.21E-16,1.21295E-16
0.035,0.573434,0.412467,0.0139563,0.00013879,3.44E-06,4.34E-09,4.34E-09,4.20E-10,4.20E-10,3.89E-12,3.89E-12,2.86E-14,3.12E-16,4.43E-19,1.43E-14,1.43E-14,1.61E-16,1.61E-16,4.55E-19,7.93E-13,7.93E-13,5.75E-14,5.75E-14,8.69E-17,8.69E-17,4.64E-16,4.63595E-16
0.04,0.530143,0.452036,0.0176145,0.000200985,5.71E-06,8.07E-09,8.07E-09,8.97E-10,8.97E-10,9.52E-12,9.52E-12,8.03E-14,1.00E-15,1.62E-18,4.00E-14,4.00E-14,5.18E-16,5.18E-16,1.67E-18,1.91E-12,1.91E-12,1.59E-13,1.59E-13,2.72E-16,2.72E-16,1.47E-15,1.47187E-15
0.045,0.490261,0.487905,0.0215482,0.000277674,8.91E-06,1.39E-08,1.39E-08,1.74E-09,1.74E-09,2.09E-11,2.09E-11,1.99E-13,2.80E-15,5.07E-18,9.89E-14,9.89E-14,1.45E-15,1.45E-15,5.23E-18,4.12E-12,4.12E-12,3.88E-13,3.88E-13,7.39E-16,7.39E-16,4.06E-15,4.05644E-15
0.05,0.453518,0.520378,0.0257206,0.000369661,1.32E-05,2.25E-08,2.25E-08,3.15E-09,3.15E-09,4.20E-11,4.20E-11,4.45E-13,6.98E-15,1.40E-17,2.21E-13,2.21E-13,3.62E-15,3.62E-15,1.45E-17,8.16E-12,8.16E-12,8.57E-13,8.57E-13,1.80E-15,1.80E-15,1.00E-14,9.9995E-15
0.055,0.419667,0.549738,0.0300982,0.000477593,1.89E-05,3.46E-08,3.46E-08,5.35E-09,5.35E-09,7.87E-11,7.87E-11,9.19E-13,1.59E-14,3.49E-17,4.57E-13,4.57E-13,8.27E-15,8.27E-15,3.62E-17,1.51E-11,1.51E-11,1.75E-12,1.75E-12,3.99E-15,3.99E-15,2.25E-14,2.25241E-14
0.06,0.388479,0.576243,0.0346505,0.000601978,2.61E-05,5.11E-08,5.11E-08,8.67E-09,8.67E-09,1.39E-10,1.39E-10,1.78E-12,3.37E-14,8.02E-17,8.84E-13,8.84E-13,1.75E-14,1.75E-14,8.34E-17,2.62E-11,2.62E-11,3.34E-12,3.34E-12,8.22E-15,8.22E-15,4.71E-14,4.70984E-14
0.065,0.359743,0.600129,0.0393498,0.000743196,3.50E-05,7.29E-08,7.29E-08,1.35E-08,1.35E-08,2.35E-10,2.35E-10,3.25E-12,6.69E-14,1.72E-16,1.62E-12,1.62E-12,3.49E-14,3.49E-14,1.79E-16,4.35E-11,4.35E-11,6.02E-12,6.02E-12,1.59E-14,1.59E-14,9.25E-14,9.2523E-14
0.07,0.333265,0.621617,0.0441708,0.000901515,4.58E-05,1.01E-07,1.01E-07,2.02E-08,2.02E-08,3.80E-10,3.80E-10,5.67E-12,1.26E-13,3.47E-16,2.82E-12,2.82E-12,6.59E-14,6.59E-14,3.63E-16,6.93E-11,6.93E-11,1.04E-11,1.04E-11,2.93E-14,2.93E-14,1.72E-13,1.72354E-13
0.075,0.308867,0.640906,0.0490909,0.0010771,5.89E-05,1.37E-07,1.37E-07,2.93E-08,2.93E-08,5.92E-10,5.92E-10,9.51E-12,2.27E-13,6.67E-16,4.72E-12,4.72E-12,1.19E-13,1.19E-13,6.98E-16,1.07E-10,1.07E-10,1.72E-11,1.72E-11,5.14E-14,5.14E-14,3.07E-13,3.06707E-13
0.08,0.286385,0.658182,0.0540892,0.00127003,7.43E-05,1.81E-07,1.81E-07,4.15E-08,4.15E-08,8.96E-10,8.96E-10,1.54E-11,3.92E-13,1.23E-15,7.63E-12,7.63E-12,2.06E-13,2.06E-13,1.28E-15,1.59E-10,1.59E-10,2.74E-11,2.74E-11,8.67E-14,8.67E-14,5.24E-13,5.2449E-13
0.085,0.265666,0.673614,0.0591471,0.0014803,9.23E-05,2.34E-07,2.34E-07,5.75E-08,5.75E-08,1.32E-09,1.32E-09,2.41E-11,6.54E-13,2.16E-15,1.20E-11,1.20E-11,3.44E-13,3.44E-13,2.27E-15,2.31E-10,2.31E-10,4.24E-11,4.24E-11,1.41E-13,1.41E-13,8.66E-13,8.66115E-13
0.09,0.246573,0.687358,0.0642476,0.00170784,0.000113164,2.98856E-07,2.98856E-07,7.7913E-08,7.7913E-08,1.89781E-09,1.89781E-09,3.68E-11,1.06E-12,3.69E-15,1.82E-11,1.82E-11,5.58E-13,5.58E-13,3.88E-15,3.27E-10,3.27E-10,6.39E-11,6.39E-11,2.23E-13,2.23E-13,1.39E-12,1.38671E-12
0.095,0.228975,0.699559,0.0693756,0.00195251,0.000137011,3.75422E-07,3.75422E-07,1.03708E-07,1.03708E-07,2.67071E-09,2.67071E-09,5.47E-11,1.67E-12,6.11E-15,2.71E-11,2.71E-11,8.81E-13,8.81E-13,6.44E-15,4.53E-10,4.53E-10,9.40E-11,9.40E-11,3.43E-13,3.43E-13,2.16E-12,2.1599E-12
0.1,0.212756,0.710347,0.0745172,0.00221411,0.000164073,4.65271E-07,4.65271E-07,1.35803E-07,1.35803E-07,3.68694E-09,3.68694E-09,7.96E-11,2.56E-12,9.83E-15,3.95E-11,3.95E-11,1.35E-12,1.35E-12,1.04E-14,6.17E-10,6.17E-10,1.35E-10,1.35E-10,5.14E-13,5.14E-13,3.28E-12,3.28213E-12
0.105,0.197806,0.719845,0.0796601,0.00249241,0.000194548,5.69645E-07,5.69645E-07,1.75229E-07,1.75229E-07,5.0026E-09,5.0026E-09,1.14E-10,3.85E-12,1.54E-14,5.63E-11,5.63E-11,2.04E-12,2.04E-12,1.63E-14,8.26E-10,8.26E-10,1.91E-10,1.91E-10,7.54E-13,7.54E-13,4.88E-12,4.87765E-12
