Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,-4.94E-24,-8.84E-21,-1.25E-18,-1.87E-16,1.93E-13,8.97E-12,8.97E-12,2.19E-08,2.19E-08,5.94E-06,5.94E-06,0.0072021,0.991176,0.00160977,6.54825E-09,6.54825E-09,1.81033E-11,1.81033E-11,9.91E-15,8.97E-12,8.97E-12,1.06E-13,1.06E-13,4.97E-15,4.97E-15,5.43E-12,5.4316E-12
0.008,-4.01E-22,-2.49E-19,-5.54E-18,1.38E-14,7.01E-12,1.38E-10,1.38E-10,1.73E-07,1.73E-07,2.35E-05,2.35E-05,0.0142389,0.982608,0.00310552,5.16285E-08,5.16285E-08,2.85121E-10,2.85121E-10,3.67E-13,1.38E-10,1.38E-10,3.87E-12,3.87E-12,1.82E-13,1.82E-13,8.55E-11,8.54805E-11
0.012,3.23E-22,8.12E-19,2.42E-16,1.86E-13,5.22E-11,6.73E-10,6.73E-10,5.75E-07,5.75E-07,5.21E-05,5.21E-05,0.0211147,0.974285,0.00449474,1.71733E-07,1.71733E-07,1.42312E-09,1.42312E-09,2.77E-12,6.73E-10,6.73E-10,2.89E-11,2.89E-11,1.36E-12,1.36E-12,4.26E-10,4.26382E-10
0.016,4.23E-21,9.06E-18,1.89E-15,1.04E-12,2.14E-10,2.05E-09,2.05E-09,1.35E-06,1.35E-06,9.13E-05,9.13E-05,0.0278335,0.966196,0.00578442,4.01212E-07,4.01212E-07,4.43602E-09,4.43602E-09,1.14E-11,2.05E-09,2.05E-09,1.19E-10,1.19E-10,5.62E-12,5.62E-12,1.33E-09,1.32828E-09
0.02,5.31E-20,6.17E-17,9.13E-15,3.88E-12,6.35E-10,4.85E-09,4.85E-09,2.60E-06,2.60E-06,1.41E-04,1.41E-04,0.0343994,0.958331,0.00698113,7.7237E-07,7.7237E-07,1.06826E-08,1.06826E-08,3.42E-11,4.85E-09,4.85E-09,3.53E-10,3.53E-10,1.67E-11,1.67E-11,3.20E-09,3.19686E-09
0.024,2.73E-19,2.62E-16,3.21E-14,1.13E-11,1.53E-09,9.72E-09,9.72E-09,4.43E-06,4.43E-06,2.00E-04,2.00E-04,0.0408161,0.950681,0.00809098,1.31555E-06,1.31555E-06,2.18514E-08,2.18514E-08,8.33E-11,9.72E-09,9.72E-09,8.54E-10,8.54E-10,4.05E-11,4.05E-11,6.54E-09,6.53575E-09
0.028,1.11E-18,8.96E-16,9.25E-14,2.77E-11,3.22E-09,1.74E-08,1.74E-08,6.95E-06,6.95E-06,2.69E-04,2.69E-04,0.0470873,0.943237,0.00911971,2.05923E-06,2.05923E-06,3.99358E-08,3.99358E-08,1.76E-10,1.74E-08,1.74E-08,1.80E-09,1.80E-09,8.53E-11,8.53E-11,1.19E-08,1.1939E-08
0.032,3.63E-18,2.56E-15,2.30E-13,6.02E-11,6.09E-09,2.87E-08,2.87E-08,1.02E-05,1.02E-05,3.46E-04,3.46E-04,0.0532167,0.935991,0.0100727,3.03007E-06,3.03007E-06,6.72125E-08,6.72125E-08,3.36E-10,2.87E-08,2.87E-08,3.41E-09,3.41E-09,1.62E-10,1.62E-10,2.01E-08,2.00841E-08
0.036,1.03E-17,6.43E-15,5.12E-13,1.19E-10,1.07E-08,4.45E-08,4.45E-08,1.44E-05,1.44E-05,4.33E-04,4.33E-04,0.0592077,0.928934,0.0109549,4.25304E-06,4.25304E-06,1.06217E-07,1.06217E-07,5.93E-10,4.45E-08,4.45E-08,5.98E-09,5.98E-09,2.85E-10,2.85E-10,3.17E-08,3.17255E-08
0.04,2.59E-17,1.46E-14,1.04E-12,2.18E-10,1.75E-08,6.57E-08,6.57E-08,1.95E-05,1.95E-05,5.27E-04,5.27E-04,0.0650637,0.92206,0.0117711,5.75145E-06,5.75145E-06,1.59727E-07,1.59727E-07,9.83E-10,6.57E-08,6.57E-08,9.85E-09,9.85E-09,4.70E-10,4.70E-10,4.77E-08,4.7689E-08
0.044,5.96E-17,3.06E-14,1.98E-12,3.75E-10,2.75E-08,9.31E-08,9.31E-08,2.56E-05,2.56E-05,6.29E-04,6.29E-04,0.070788,0.91536,0.0125257,7.5471E-06,7.5471E-06,2.30737E-07,2.30737E-07,1.55E-09,9.31E-08,9.31E-08,1.55E-08,1.55E-08,7.38E-10,7.38E-10,6.89E-08,6.88645E-08
0.048,1.27E-16,6.00E-14,3.56E-12,6.16E-10,4.12E-08,1.28E-07,1.28E-07,3.29E-05,3.29E-05,7.39E-04,7.39E-04,0.0763836,0.908829,0.0132226,9.66015E-06,9.66015E-06,3.22446E-07,3.22446E-07,2.34E-09,1.28E-07,1.28E-07,2.32E-08,2.32E-08,1.11E-09,1.11E-09,9.62E-08,9.62025E-08
0.052,2.55E-16,1.11E-13,6.08E-12,9.70E-10,5.98E-08,1.71E-07,1.71E-07,4.13E-05,4.13E-05,8.56E-04,8.56E-04,0.0818538,0.902459,0.0138659,1.21096E-05,1.21096E-05,4.38235E-07,4.38235E-07,3.42E-09,1.71E-07,1.71E-07,3.38E-08,3.38E-08,1.62E-09,1.62E-09,1.31E-07,1.30707E-07
0.056,4.83E-16,1.97E-13,9.96E-12,1.47E-09,8.43E-08,2.22E-07,2.22E-07,5.09E-05,5.09E-05,9.80E-04,9.80E-04,0.0872014,0.896244,0.0144591,1.49127E-05,1.49127E-05,5.81655E-07,5.81655E-07,4.85E-09,2.22E-07,2.22E-07,4.77E-08,4.77E-08,2.28E-09,2.28E-09,1.73E-07,1.73432E-07
0.06,8.75E-16,3.34E-13,1.57E-11,2.17E-09,1.16E-07,2.84E-07,2.84E-07,6.19E-05,6.19E-05,1.11E-03,1.11E-03,0.0924293,0.89018,0.0150055,1.80857E-05,1.80857E-05,7.56395E-07,7.56395E-07,6.71E-09,2.84E-07,2.84E-07,6.56E-08,6.56E-08,3.14E-09,3.14E-09,2.25E-07,2.25476E-07
0.064,1.52E-15,5.47E-13,2.41E-11,3.12E-09,1.56E-07,3.57E-07,3.57E-07,7.42E-05,7.42E-05,1.25E-03,1.25E-03,0.0975405,0.884259,0.0155083,2.16435E-05,2.16435E-05,9.66305E-07,9.66305E-07,9.07E-09,3.57E-07,3.57E-07,8.84E-08,8.84E-08,4.23E-09,4.23E-09,2.88E-07,2.87979E-07
0.068,2.56E-15,8.69E-13,3.60E-11,4.37E-09,2.05E-07,4.41E-07,4.41E-07,8.79E-05,8.79E-05,1.39E-03,1.39E-03,0.102537,0.878478,0.0159704,2.55999E-05,2.55999E-05,1.21533E-06,1.21533E-06,1.20E-08,4.41E-07,4.41E-07,1.17E-07,1.17E-07,5.59E-09,5.59E-09,3.62E-07,3.62115E-07
0.072,4.17E-15,1.34E-12,5.24E-11,6.00E-09,2.66E-07,5.38E-07,5.38E-07,1.03E-04,1.03E-04,1.54E-03,1.54E-03,0.107423,0.872831,0.0163946,2.99673E-05,2.99673E-05,1.50754E-06,1.50754E-06,1.57E-08,5.38E-07,5.38E-07,1.51E-07,1.51E-07,7.26E-09,7.26E-09,4.49E-07,4.49093E-07
0.076,6.60E-15,2.02E-12,7.47E-11,8.10E-09,3.39E-07,6.48E-07,6.48E-07,1.20E-04,1.20E-04,1.69E-03,1.69E-03,0.1122,0.867313,0.0167834,3.47573E-05,3.47573E-05,1.84708E-06,1.84708E-06,2.01E-08,6.48E-07,6.48E-07,1.94E-07,1.94E-07,9.28E-09,9.28E-09,5.50E-07,5.5015E-07
0.08,1.02E-14,2.98E-12,1.04E-10,1.07E-08,4.26E-07,7.72E-07,7.72E-07,1.38E-04,1.38E-04,1.85E-03,1.85E-03,0.11687,0.861919,0.0171392,3.99805E-05,3.99805E-05,2.23821E-06,2.23821E-06,2.55E-08,7.73E-07,7.73E-07,2.44E-07,2.44E-07,1.17E-08,1.17E-08,6.67E-07,6.66545E-07
0.084,1.54E-14,4.31E-12,1.44E-10,1.40E-08,5.30E-07,9.12E-07,9.12E-07,1.58E-04,1.58E-04,2.02E-03,2.02E-03,0.121436,0.856646,0.0174643,4.56461E-05,4.56461E-05,2.68524E-06,2.68524E-06,3.18E-08,9.12E-07,9.12E-07,3.04E-07,3.04E-07,1.46E-08,1.46E-08,8.00E-07,7.9957E-07
