Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,2.11E-16,6.81E-13,2.51E-10,2.41E-07,7.87E-05,9.58E-04,9.58E-04,4.94E-01,4.94E-01,4.47E-03,4.47E-03,1.85E-05,8.51E-08,4.39E-11,9.24E-06,9.24E-06,4.30E-08,4.30E-08,4.42E-11,9.58E-04,9.58E-04,3.93E-05,3.93E-05,2.67E-08,2.67E-08,1.33E-07,1.33372E-07
0.01,1.46E-14,2.14E-11,3.85E-09,1.84E-06,0.000296476,0.001761345,0.001761345,0.487311,0.487311,0.0087945,0.0087945,7.27E-05,6.70E-07,6.81E-10,3.63E-05,3.63E-05,3.42E-07,3.42E-07,6.93E-10,1.76E-03,1.76E-03,1.48E-04,1.48E-04,1.96E-07,1.96E-07,1.02E-06,1.01816E-06
0.015,1.60E-13,1.57E-10,1.87E-08,5.91E-06,0.000629291,0.002434625,0.002434625,0.4813665,0.4813665,0.0129659,0.0129659,0.00016076,2.23E-06,3.35E-09,8.01E-05,8.01E-05,1.15E-06,1.15E-06,3.44E-09,2.43E-03,2.43E-03,3.14E-04,3.14E-04,6.10E-07,6.10E-07,3.28E-06,3.2818E-06
0.02,8.64E-13,6.37E-10,5.66E-08,1.34E-05,0.00105671,0.00299734,0.00299734,0.475655,0.475655,0.01699425,0.01699425,0.000280866,5.19E-06,1.03E-08,1.40E-04,1.40E-04,2.69E-06,2.69E-06,1.06E-08,3.00E-03,3.00E-03,5.27E-04,5.27E-04,1.33E-06,1.33E-06,7.44E-06,7.4355E-06
0.025,3.16E-12,1.87E-09,1.33E-07,2.49E-05,0.00156151,0.003466375,0.003466375,0.4701545,0.4701545,0.0208849,0.0208849,0.000431324,9.98E-06,2.44E-08,2.14E-04,2.14E-04,5.21E-06,5.21E-06,2.54E-08,3.47E-03,3.47E-03,7.78E-04,7.78E-04,2.40E-06,2.40E-06,1.39E-05,1.38924E-05
0.03,9.04E-12,4.50E-09,2.64E-07,4.11E-05,0.00212911,0.00385606,0.00385606,0.464847,0.464847,0.0246427,0.0246427,0.000610504,1.70E-05,4.93E-08,3.03E-04,3.03E-04,8.91E-06,8.91E-06,5.14E-08,3.86E-03,3.86E-03,1.06E-03,1.06E-03,3.84E-06,3.84E-06,2.30E-05,2.29824E-05
0.035,2.19E-11,9.37E-09,4.69E-07,6.23E-05,0.00274725,0.004178555,0.004178555,0.459717,0.459717,0.02827235,0.02827235,0.000816848,2.65E-05,8.88E-08,4.05E-04,4.05E-04,1.40E-05,1.40E-05,9.30E-08,4.18E-03,4.18E-03,1.37E-03,1.37E-03,5.63E-06,5.63E-06,3.50E-05,3.49658E-05
0.04,4.67E-11,1.76E-08,7.70E-07,8.90E-05,0.00340557,0.00444418,0.00444418,0.45475,0.45475,0.0317783,0.0317783,0.00104887,3.90E-05,1.47E-07,5.19E-04,5.19E-04,2.07E-05,2.07E-05,1.55E-07,4.44E-03,4.44E-03,1.69E-03,1.69E-03,7.79E-06,7.79E-06,5.00E-05,0.000050044
0.045,9.08E-11,3.07E-08,1.19E-06,0.000121243,0.00409535,0.004661695,0.004661695,0.449934,0.449934,0.03516475,0.03516475,0.00130514,5.47E-05,2.30E-07,6.45E-04,6.45E-04,2.91E-05,2.91E-05,2.42E-07,4.66E-03,4.66E-03,2.04E-03,2.04E-03,1.03E-05,1.03E-05,6.84E-05,0.000068368
0.05,1.64E-10,5.02E-08,1.74E-06,0.00015928,0.00480926,0.00483853,0.00483853,0.445258,0.445258,0.0384357,0.0384357,0.0015843,7.39E-05,3.40E-07,7.82E-04,7.82E-04,3.94E-05,3.94E-05,3.61E-07,4.84E-03,4.84E-03,2.39E-03,2.39E-03,1.31E-05,1.31E-05,9.00E-05,9.00485E-05
0.055,2.79E-10,7.82E-08,2.45E-06,0.000203174,0.00554114,0.004980995,0.004980995,0.4407135,0.4407135,0.041595,0.041595,0.00188504,9.68E-05,4.85E-07,9.30E-04,9.30E-04,5.18E-05,5.18E-05,5.15E-07,4.98E-03,4.98E-03,2.75E-03,2.75E-03,1.62E-05,1.62E-05,1.15E-04,0.00011516
0.06,4.51E-10,1.17E-07,3.34E-06,0.000252961,0.00628585,0.00509445,0.00509445,0.4362915,0.4362915,0.04464625,0.04464625,0.00220611,0.000123789,6.69E-07,1.09E-03,1.09E-03,6.63E-05,6.63E-05,7.12E-07,5.09E-03,5.09E-03,3.12E-03,3.12E-03,1.96E-05,1.96E-05,1.44E-04,0.000143747
0.065,7.01E-10,1.68E-07,4.43E-06,0.000308631,0.00703905,0.0051834,0.0051834,0.431985,0.431985,0.04759305,0.04759305,0.00254633,0.000155005,8.96E-07,1.25E-03,1.25E-03,8.32E-05,8.32E-05,9.57E-07,5.18E-03,5.18E-03,3.49E-03,3.49E-03,2.32E-05,2.32E-05,1.76E-04,0.000175832
0.07,1.05E-09,2.36E-07,5.74E-06,0.000370142,0.00779716,0.0052517,0.0052517,0.4277875,0.4277875,0.0504385,0.0504385,0.00290455,0.000190678,1.17E-06,1.43E-03,1.43E-03,1.02E-04,1.02E-04,1.25E-06,5.25E-03,5.25E-03,3.87E-03,3.87E-03,2.71E-05,2.71E-05,2.11E-04,0.000211415
0.075,1.53E-09,3.23E-07,7.30E-06,0.000437421,0.00855717,0.00530265,0.00530265,0.423693,0.423693,0.0531865,0.0531865,0.00327967,0.000231003,1.51E-06,1.61E-03,1.61E-03,1.24E-04,1.24E-04,1.61E-06,5.30E-03,5.30E-03,4.24E-03,4.24E-03,3.11E-05,3.11E-05,2.50E-04,0.00025048
0.08,2.16E-09,4.31E-07,9.11E-06,0.000510372,0.00931659,0.00533895,0.00533895,0.4196965,0.4196965,0.0558395,0.0558395,0.00367064,0.000276155,1.90E-06,1.80E-03,1.80E-03,1.49E-04,1.49E-04,2.04E-06,5.34E-03,5.34E-03,4.61E-03,4.61E-03,3.53E-05,3.53E-05,2.93E-04,0.000292996
0.085,2.99E-09,5.65E-07,1.12E-05,0.00058888,0.0100734,0.00536305,0.00536305,0.415793,0.415793,0.0584005,0.0584005,0.00407648,0.000326297,2.36E-06,2.00E-03,2.00E-03,1.76E-04,1.76E-04,2.53E-06,5.36E-03,5.36E-03,4.99E-03,4.99E-03,3.97E-05,3.97E-05,3.39E-04,0.000338921
