Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
0.005,5.61E-24,2.59E-20,1.54E-17,2.62E-14,1.71E-11,5.27E-10,5.27E-10,1.03E-06,1.03E-06,2.41E-07,2.41E-07,5.01E-10,1.38E-12,4.76E-16,1.71E-04,1.71E-04,3.68E-02,3.68E-02,7.69E-05,3.74E-05,3.74E-05,3.68E-02,3.68E-02,4.26E-01,4.26E-01,1.72E-04,0.000171529
0.01,2.99E-21,6.50E-18,1.87E-15,1.56E-12,5.04E-10,7.63E-09,7.63E-09,7.54E-06,7.54E-06,1.85E-06,1.85E-06,7.71E-09,4.29E-11,2.94E-14,6.44E-04,6.44E-04,6.76E-02,6.76E-02,0.000282978,0.000134221,0.000134221,0.0676395,0.0676395,0.363146,0.363146,0.00064582,0.00064582
0.015,1.09E-19,1.57E-16,2.99E-14,1.65E-11,3.52E-09,3.50E-08,3.50E-08,2.34E-05,2.34E-05,5.97E-06,5.97E-06,3.76E-08,3.15E-10,3.22E-13,1.36E-03,1.36E-03,9.35E-02,9.35E-02,0.000586547,0.000271121,0.000271121,0.093495,0.093495,0.309682,0.309682,0.001369465,0.001369465
0.02,1.36E-18,1.48E-15,2.09E-13,8.61E-11,1.37E-08,1.00E-07,1.00E-07,5.12E-05,5.12E-05,1.36E-05,1.36E-05,1.14E-07,1.28E-09,1.74E-12,2.28E-03,2.28E-03,1.15E-01,1.15E-01,0.000961581,0.000433326,0.000433326,0.1151045,0.1151045,0.2642265,0.2642265,0.00229728,0.00229728
0.025,9.52E-18,8.29E-15,9.34E-13,3.05E-10,3.84E-08,2.23E-07,2.23E-07,9.22E-05,9.22E-05,2.54E-05,2.54E-05,2.69E-07,3.79E-09,6.38E-12,3.37E-03,3.37E-03,1.33E-01,1.33E-01,0.00138691,0.000609585,0.000609585,0.133117,0.133117,0.2255785,0.2255785,0.003391075,0.003391075
0.03,4.62E-17,3.36E-14,3.13E-12,8.48E-10,8.81E-08,4.20E-07,4.20E-07,1.47E-04,1.47E-04,4.22E-05,4.22E-05,5.38E-07,9.13E-09,1.83E-11,4.58E-03,4.58E-03,1.48E-01,1.48E-01,0.00184539,0.00079147,0.00079147,0.148082,0.148082,0.192717,0.192717,0.00461858,0.00461858
0.035,1.74E-16,1.09E-13,8.64E-12,1.99E-09,1.76E-07,7.08E-07,7.08E-07,2.16E-04,2.16E-04,6.43E-05,6.43E-05,9.62E-07,1.91E-08,4.44E-11,5.89E-03,5.89E-03,1.60E-01,1.60E-01,0.00232323,0.000972775,0.000972775,0.1604675,0.1604675,0.1647745,0.1647745,0.00595255,0.00595255
0.04,5.44E-16,2.98E-13,2.06E-11,4.13E-09,3.17E-07,1.10E-06,1.10E-06,2.99E-04,2.99E-04,9.21E-05,9.21E-05,1.58E-06,3.61E-08,9.52E-11,7.29E-03,7.29E-03,1.71E-01,1.71E-01,0.00280945,0.001149035,0.001149035,0.17067,0.17067,0.141013,0.141013,0.0073701,0.0073701
0.045,1.48E-15,7.22E-13,4.41E-11,7.81E-09,5.27E-07,1.61E-06,1.61E-06,3.95E-04,3.95E-04,1.26E-04,1.26E-04,2.44E-06,6.30E-08,1.86E-10,8.74E-03,8.74E-03,1.79E-01,1.79E-01,0.00329536,0.00131716,0.00131716,0.179025,0.179025,0.120806,0.120806,0.00885175,0.00885175
