Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
0.004,-2.33E-23,-4.00E-20,-5.58E-18,-7.16E-16,9.55E-13,4.31E-11,4.31E-11,1.04E-07,1.04E-07,2.69E-06,2.69E-06,5.94E-09,1.64E-11,4.50E-15,1.63E-03,1.63E-03,9.08E-06,9.08E-06,9.96E-09,4.37E-06,4.37E-06,5.44E-03,5.44E-03,4.38E-06,4.38E-06,4.93E-01,0.4929095
0.008,-1.71E-21,-1.02E-18,-1.17E-17,6.87E-14,3.34E-11,6.48E-10,6.48E-10,8.03E-07,8.03E-07,1.06E-05,1.06E-05,4.68E-08,2.59E-10,1.67E-13,3.20E-03,3.20E-03,3.62E-05,3.62E-05,7.81E-08,1.66E-05,1.66E-05,1.08E-02,1.08E-02,1.67E-05,1.67E-05,4.86E-01,0.4859645
0.012,1.63E-21,4.00E-18,1.16E-15,8.78E-13,2.43E-10,3.10E-09,3.10E-09,2.61E-06,2.61E-06,2.35E-05,2.35E-05,1.55E-07,1.29E-09,1.25E-12,4.73E-03,4.73E-03,8.10E-05,8.10E-05,2.59E-07,3.56E-05,3.56E-05,1.59E-02,1.59E-02,3.58E-05,3.58E-05,4.79E-01,0.479161
0.016,2.03E-20,4.29E-17,8.83E-15,4.81E-12,9.81E-10,9.28E-09,9.28E-09,5.97E-06,5.97E-06,4.10E-05,4.10E-05,3.63E-07,4.02E-09,5.18E-12,6.21E-03,6.21E-03,1.43E-04,1.43E-04,6.02E-07,6.04E-05,6.04E-05,2.10E-02,2.10E-02,6.07E-05,6.07E-05,4.72E-01,0.472496
0.02,2.48E-19,2.86E-16,4.21E-14,1.77E-11,2.86E-09,2.15E-08,2.15E-08,1.12E-05,1.12E-05,6.31E-05,6.31E-05,6.97E-07,9.67E-09,1.55E-11,7.64E-03,7.64E-03,2.22E-04,2.22E-04,1.15E-06,9.00E-05,9.00E-05,2.59E-02,2.59E-02,9.05E-05,9.05E-05,4.66E-01,0.465967
0.024,1.25E-18,1.20E-15,1.46E-13,5.08E-11,6.79E-09,4.22E-08,4.22E-08,1.88E-05,1.88E-05,8.95E-05,8.95E-05,1.19E-06,1.98E-08,3.77E-11,9.03E-03,9.03E-03,3.18E-04,3.18E-04,1.95E-06,1.24E-04,1.24E-04,3.07E-02,3.07E-02,1.24E-04,1.24E-04,4.60E-01,0.4595705
0.028,5.08E-18,4.06E-15,4.15E-13,1.23E-10,1.40E-08,7.42E-08,7.42E-08,2.88E-05,2.88E-05,1.20E-04,1.20E-04,1.86E-06,3.61E-08,7.97E-11,1.04E-02,1.04E-02,4.31E-04,4.31E-04,3.04E-06,1.61E-04,1.61E-04,3.54E-02,3.54E-02,1.62E-04,1.62E-04,4.53E-01,0.4533045
0.032,1.64E-17,1.15E-14,1.02E-12,2.63E-10,2.62E-08,1.20E-07,1.20E-07,4.15E-05,4.15E-05,1.54E-04,1.54E-04,2.73E-06,6.07E-08,1.52E-10,1.17E-02,1.17E-02,5.59E-04,5.59E-04,4.45E-06,2.01E-04,2.01E-04,4.00E-02,4.00E-02,2.02E-04,2.02E-04,4.47E-01,0.447165
0.036,4.61E-17,2.85E-14,2.24E-12,5.12E-10,4.51E-08,1.83E-07,1.83E-07,5.71E-05,5.71E-05,1.92E-04,1.92E-04,3.83E-06,9.60E-08,2.68E-10,1.29E-02,1.29E-02,7.02E-04,7.02E-04,6.21E-06,2.43E-04,2.43E-04,4.45E-02,4.45E-02,2.45E-04,2.45E-04,4.41E-01,0.44115
