Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,-8.53E-19,-2.59E-16,1.93E-13,3.48E-10,1.89E-07,4.37E-06,4.37E-06,5.43E-03,5.43E-03,4.91E-01,4.91E-01,0.00325565,1.80E-05,9.88E-09,1.63E-03,1.63E-03,8.98E-06,8.98E-06,9.87E-09,4.37E-06,4.37E-06,1.04E-07,1.04E-07,4.90E-09,4.90E-09,2.69E-06,2.69155E-06
0.008,-4.55E-19,2.17E-14,7.01E-12,5.34E-09,1.45E-06,1.66E-05,1.66E-05,1.07E-02,1.07E-02,4.83E-01,4.83E-01,0.00640867,7.10E-05,7.70E-08,3.19E-03,3.19E-03,3.54E-05,3.54E-05,7.68E-08,1.66E-05,1.66E-05,8.03E-07,8.03E-07,3.79E-08,3.79E-08,1.06E-05,1.05924E-05
0.012,1.87E-16,2.83E-13,5.21E-11,2.61E-08,4.70E-06,3.55E-05,3.55E-05,1.59E-02,1.59E-02,4.74E-01,4.74E-01,0.00946206,0.000157496,2.53E-07,4.71E-03,4.71E-03,7.84E-05,7.84E-05,2.52E-07,3.55E-05,3.55E-05,2.61E-06,2.61E-06,1.24E-07,1.24E-07,2.35E-05,2.34519E-05
0.016,1.42E-15,1.57E-12,2.13E-10,7.96E-08,1.07E-05,6.01E-05,6.01E-05,2.08E-02,2.08E-02,4.66E-01,4.66E-01,0.0124188,0.000276249,5.85E-07,6.17E-03,6.17E-03,1.37E-04,1.37E-04,5.82E-07,6.01E-05,6.01E-05,5.97E-06,5.97E-06,2.83E-07,2.83E-07,4.10E-05,4.10323E-05
0.02,6.78E-15,5.87E-12,6.32E-10,1.88E-07,2.01E-05,8.94E-05,8.94E-05,2.57E-02,2.57E-02,4.58E-01,4.58E-01,0.0152816,0.000425889,1.11E-06,7.58E-03,7.58E-03,2.11E-04,2.11E-04,1.11E-06,8.94E-05,8.94E-05,1.12E-05,1.12E-05,5.35E-07,5.35E-07,6.31E-05,6.31075E-05
0.024,2.36E-14,1.71E-11,1.52E-09,3.77E-07,3.34E-05,1.23E-04,1.23E-04,3.04E-02,3.04E-02,4.51E-01,4.51E-01,0.0180534,0.000605139,1.88E-06,8.94E-03,8.94E-03,3.00E-04,3.00E-04,1.86E-06,1.23E-04,1.23E-04,1.88E-05,1.88E-05,8.94E-07,8.94E-07,8.95E-05,8.94635E-05
0.028,6.77E-14,4.20E-11,3.20E-09,6.75E-07,5.11E-05,1.59E-04,1.59E-04,3.50E-02,3.50E-02,4.43E-01,4.43E-01,0.0207368,0.000812767,2.90E-06,1.03E-02,1.03E-02,4.02E-04,4.02E-04,2.88E-06,1.59E-04,1.59E-04,2.88E-05,2.88E-05,1.37E-06,1.37E-06,1.20E-04,0.000119895
0.032,1.67E-13,9.10E-11,6.05E-09,1.11E-06,7.35E-05,1.99E-04,1.99E-04,3.95E-02,3.95E-02,4.36E-01,4.36E-01,0.0233344,0.00104758,4.23E-06,1.15E-02,1.15E-02,5.17E-04,5.17E-04,4.18E-06,1.99E-04,1.99E-04,4.15E-05,4.15E-05,1.98E-06,1.98E-06,1.54E-04,0.000154207
0.036,3.70E-13,1.80E-10,1.06E-08,1.73E-06,0.00010088,0.000240239,0.000240239,0.043834,0.043834,0.428417,0.428417,0.0258488,0.00130844,5.87E-06,1.27E-02,1.27E-02,6.45E-04,6.45E-04,5.80E-06,2.40E-04,2.40E-04,5.71E-05,5.71E-05,2.73E-06,2.73E-06,1.92E-04,0.000192215
