Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
0.004,5.59E-19,2.40E-15,1.31E-12,1.97E-09,1.07E-06,2.45E-05,2.45E-05,2.99E-02,2.99E-02,1.11E-04,1.11E-04,2.47E-07,6.85E-10,2.27E-13,2.48E-07,2.48E-07,5.34E-07,5.34E-07,4.46E-10,4.40E-01,4.40E-01,2.99E-02,2.99E-02,2.45E-05,2.45E-05,1.11E-04,0.000111009
0.008,7.02E-17,1.48E-13,3.99E-11,2.97E-08,7.98E-06,8.97E-05,8.97E-05,5.59E-02,5.59E-02,4.22E-04,4.22E-04,1.89E-06,1.06E-08,6.99E-12,1.91E-06,1.91E-06,4.00E-06,4.00E-06,6.68E-09,3.87E-01,3.87E-01,5.59E-02,5.59E-02,8.97E-05,8.97E-05,4.22E-04,0.000422445
0.012,1.15E-15,1.62E-12,2.88E-10,1.42E-07,2.52E-05,1.85E-04,1.85E-04,7.85E-02,7.85E-02,9.02E-04,9.02E-04,6.13E-06,5.17E-08,5.10E-11,6.20E-06,6.20E-06,1.26E-05,1.26E-05,3.17E-08,3.41E-01,3.41E-01,7.85E-02,7.85E-02,1.85E-04,1.85E-04,9.05E-04,0.000905
0.016,8.21E-15,8.69E-12,1.16E-09,4.25E-07,5.59E-05,3.02E-04,3.02E-04,9.81E-02,9.81E-02,1.53E-03,1.53E-03,1.40E-05,1.58E-07,2.07E-10,1.41E-05,1.41E-05,2.80E-05,2.80E-05,9.37E-08,3.00E-01,3.00E-01,9.81E-02,9.81E-02,3.02E-04,3.02E-04,1.53E-03,0.001533055
0.02,3.74E-14,3.18E-11,3.36E-09,9.81E-07,0.000102198,0.000433326,0.000433326,0.115104,0.115104,0.002271215,0.002271215,2.62E-05,3.72E-07,6.06E-10,2.66E-05,2.66E-05,5.14E-05,5.14E-05,2.14E-07,2.64E-01,2.64E-01,1.15E-01,1.15E-01,4.33E-04,4.33E-04,2.28E-03,0.00228425
0.024,1.28E-13,9.09E-11,7.97E-09,1.93E-06,0.000165514,0.00057365,0.00057365,0.1297735,0.1297735,0.003117425,0.003117425,4.35E-05,7.46E-07,1.45E-09,4.43E-05,4.43E-05,8.33E-05,8.33E-05,4.17E-07,2.33E-01,2.33E-01,1.30E-01,1.30E-01,5.74E-04,5.74E-04,3.14E-03,0.003139045
0.028,3.60E-13,2.20E-10,1.64E-08,3.38E-06,0.000246519,0.00071848,0.00071848,0.1424285,0.1424285,0.004047435,0.004047435,6.63E-05,1.34E-06,3.02E-09,6.78E-05,6.78E-05,1.24E-04,1.24E-04,7.25E-07,2.05E-01,2.05E-01,1.42E-01,1.42E-01,7.18E-04,7.18E-04,4.08E-03,0.00408041
0.032,8.76E-13,4.69E-10,3.05E-08,5.46E-06,0.000345408,0.00086434,0.00086434,0.15332,0.15332,0.0050462,0.0050462,9.53E-05,2.21E-06,5.66E-09,9.76E-05,9.76E-05,1.74E-04,1.74E-04,1.16E-06,1.81E-01,1.81E-01,1.53E-01,1.53E-01,8.64E-04,8.64E-04,5.09E-03,0.0050935
0.036,1.91E-12,9.12E-10,5.25E-08,8.29E-06,0.000461978,0.001008535,0.001008535,0.162668,0.162668,0.0061006,0.0061006,0.000130514,3.42E-06,9.82E-09,1.34E-04,1.34E-04,2.34E-04,2.34E-04,1.75E-06,1.60E-01,1.60E-01,1.63E-01,1.63E-01,1.01E-03,1.01E-03,6.17E-03,0.00616535
0.04,3.82E-12,1.65E-09,8.48E-08,1.20E-05,0.000595731,0.00114902,0.00114902,0.170665,0.170665,0.00719925,0.00719925,0.000172357,5.05E-06,1.60E-08,1.78E-04,1.78E-04,3.02E-04,3.02E-04,2.50E-06,1.41E-01,1.41E-01,1.71E-01,1.71E-01,1.15E-03,1.15E-03,7.28E-03,0.0072847
0.044,7.12E-12,2.80E-09,1.30E-07,1.67E-05,0.00074595,0.00128427,0.00128427,0.17748,0.17748,0.00833235,0.00833235,0.000220954,7.15E-06,2.48E-08,2.28E-04,2.28E-04,3.78E-04,3.78E-04,3.45E-06,1.25E-01,1.25E-01,1.77E-01,1.77E-01,1.28E-03,1.28E-03,8.44E-03,0.00844175
0.048,1.25E-11,4.53E-09,1.93E-07,2.24E-05,0.000911756,0.001413205,0.001413205,0.1832625,0.1832625,0.00949125,0.00949125,0.000276409,9.81E-06,3.69E-08,2.86E-04,2.86E-04,4.63E-04,4.63E-04,4.59E-06,1.10E-01,1.10E-01,1.83E-01,1.83E-01,1.41E-03,1.41E-03,9.63E-03,0.009628
0.052,2.10E-11,7.03E-09,2.75E-07,2.93E-05,0.00109217,0.00153508,0.00153508,0.1881415,0.1881415,0.01066865,0.01066865,0.000338774,1.31E-05,5.31E-08,3.51E-04,3.51E-04,5.56E-04,5.56E-04,5.96E-06,9.75E-02,9.75E-02,1.88E-01,1.88E-01,1.54E-03,1.54E-03,1.08E-02,0.0108361
0.056,3.38E-11,1.05E-08,3.80E-07,3.75E-05,0.00128613,0.001649435,0.001649435,0.1922315,0.1922315,0.0118581,0.0118581,0.000408055,1.71E-05,7.41E-08,4.24E-04,4.24E-04,6.56E-04,6.56E-04,7.55E-06,8.64E-02,8.64E-02,1.92E-01,1.92E-01,1.65E-03,1.65E-03,1.21E-02,0.0120596
0.06,5.25E-11,1.53E-08,5.13E-07,4.70E-05,0.00149256,0.00175603,0.00175603,0.1956325,0.1956325,0.0130541,0.0130541,0.000484219,2.18E-05,1.01E-07,5.04E-04,5.04E-04,7.63E-04,7.63E-04,9.37E-06,7.66E-02,7.66E-02,1.96E-01,1.96E-01,1.76E-03,1.76E-03,1.33E-02,0.013293
0.064,7.90E-11,2.17E-08,6.78E-07,5.80E-05,0.00171038,0.0018548,0.0018548,0.198432,0.198432,0.01425195,0.01425195,0.000567203,2.74E-05,1.34E-07,5.92E-04,5.92E-04,8.77E-04,8.77E-04,1.14E-05,6.80E-02,6.80E-02,1.98E-01,1.98E-01,1.85E-03,1.85E-03,1.45E-02,0.01453155
0.068,1.16E-10,3.00E-08,8.79E-07,7.03E-05,0.00193848,0.00194582,0.00194582,0.200707,0.200707,0.0154476,0.0154476,0.000656913,3.39E-05,1.75E-07,6.87E-04,6.87E-04,9.96E-04,9.96E-04,1.38E-05,6.04E-02,6.04E-02,2.01E-01,2.01E-01,1.95E-03,1.95E-03,1.58E-02,0.01577105
0.072,1.65E-10,4.07E-08,1.12E-06,8.42E-05,0.00217583,0.002029255,0.002029255,0.2025245,0.2025245,0.01663755,0.01663755,0.000753233,4.13E-05,2.25E-07,7.89E-04,7.89E-04,1.12E-03,1.12E-03,1.63E-05,5.38E-02,5.38E-02,2.03E-01,2.03E-01,2.03E-03,2.03E-03,1.70E-02,0.01700805
0.076,2.32E-10,5.42E-08,1.41E-06,9.96E-05,0.00242141,0.002105365,0.002105365,0.203944,0.203944,0.01781885,0.01781885,0.000856031,4.98E-05,2.85E-07,8.98E-04,8.98E-04,1.25E-03,1.25E-03,1.92E-05,4.79E-02,4.79E-02,2.04E-01,2.04E-01,2.11E-03,2.11E-03,1.82E-02,0.01823955
0.08,3.18E-10,7.09E-08,1.74E-06,0.000116654,0.00267423,0.00217445,0.00217445,0.205017,0.205017,0.018989,0.018989,0.000965155,5.93E-05,3.55E-07,1.01E-03,1.01E-03,1.39E-03,1.39E-03,2.22E-05,4.28E-02,4.28E-02,2.05E-01,2.05E-01,2.17E-03,2.17E-03,1.95E-02,0.01946285
0.084,4.29E-10,9.15E-08,2.13E-06,0.000135283,0.00293339,0.00223686,0.00223686,0.205789,0.205789,0.0201459,0.0201459,0.00108045,7.01E-05,4.38E-07,1.14E-03,1.14E-03,1.52E-03,1.52E-03,2.56E-05,3.83E-02,3.83E-02,2.06E-01,2.06E-01,2.24E-03,2.24E-03,2.07E-02,0.02067585
0.088,5.70E-10,1.16E-07,2.58E-06,0.000155544,0.003198,0.002292955,0.002292955,0.206299,0.206299,0.0212878,0.0212878,0.00120173,8.20E-05,5.33E-07,1.27E-03,1.27E-03,1.67E-03,1.67E-03,2.91E-05,3.43E-02,3.43E-02,2.06E-01,2.06E-01,2.29E-03,2.29E-03,2.19E-02,0.02187665
0.092,7.47E-10,1.47E-07,3.09E-06,0.000177449,0.00346727,0.002343125,0.002343125,0.2065825,0.2065825,0.0224132,0.0224132,0.00132882,9.52E-05,6.44E-07,1.40E-03,1.40E-03,1.81E-03,1.81E-03,3.29E-05,3.09E-02,3.09E-02,2.07E-01,2.07E-01,2.34E-03,2.34E-03,2.31E-02,0.0230637
0.096,9.66E-10,1.82E-07,3.67E-06,0.000201007,0.00374042,0.002387755,0.002387755,0.2066695,0.2066695,0.02352095,0.02352095,0.00146155,0.000109652,7.69E-07,1.54E-03,1.54E-03,1.96E-03,1.96E-03,3.70E-05,2.78E-02,2.78E-02,2.07E-01,2.07E-01,2.39E-03,2.39E-03,2.42E-02,0.0242357
