Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,-3.30E-21,-2.73E-18,-1.21E-16,1.94E-13,1.58E-10,4.86E-09,4.86E-09,8.99E-06,8.99E-06,1.63E-03,1.63E-03,0.98582,0.0108924,8.93E-06,2.69E-06,2.69E-06,9.90E-09,9.90E-09,8.22E-12,4.86E-09,4.86E-09,8.71E-11,8.71E-11,4.09E-12,4.09E-12,2.97E-09,2.96932E-09
0.008,-1.88E-19,-6.12E-17,4.53E-15,6.95E-12,2.43E-09,3.73E-08,3.73E-08,3.54E-05,3.54E-05,3.20E-03,3.20E-03,0.971929,0.0215348,3.47E-05,1.06E-05,1.06E-05,7.80E-08,7.80E-08,1.28E-10,3.73E-08,3.73E-08,1.34E-09,1.34E-09,6.33E-11,6.33E-11,2.34E-08,2.3382E-08
0.012,8.40E-22,2.71E-16,7.99E-14,5.18E-11,1.19E-08,1.21E-07,1.21E-07,7.86E-05,7.86E-05,4.73E-03,4.73E-03,0.958323,0.0319336,7.59E-05,2.34E-05,2.34E-05,2.59E-07,2.59E-07,6.32E-10,1.21E-07,1.21E-07,6.58E-09,6.58E-09,3.11E-10,3.11E-10,7.77E-08,7.76845E-08
0.016,1.63E-18,2.71E-15,4.65E-13,2.13E-10,3.62E-08,2.75E-07,2.75E-07,1.38E-04,1.38E-04,6.21E-03,6.21E-03,0.944995,0.0420951,0.000131177,4.09891E-05,4.09891E-05,6.0582E-07,6.0582E-07,1.95E-09,2.75E-07,2.75E-07,2.01E-08,2.01E-08,9.52E-10,9.52E-10,1.81E-07,1.81293E-07
0.02,1.24E-17,1.34E-14,1.74E-12,6.31E-10,8.53E-08,5.15E-07,5.15E-07,2.12E-04,2.12E-04,7.64E-03,7.64E-03,0.931938,0.0520253,0.000199245,6.30085E-05,6.30085E-05,1.16582E-06,1.16582E-06,4.64E-09,5.15E-07,5.15E-07,4.76E-08,4.76E-08,2.26E-09,2.26E-09,3.49E-07,3.48642E-07
0.024,5.69E-17,4.81E-14,5.09E-12,1.52E-09,1.71E-07,8.56E-07,8.56E-07,3.02E-04,3.02E-04,9.03E-03,9.03E-03,0.919147,0.0617298,0.000278958,0.000089267,0.000089267,1.98497E-06,1.98497E-06,9.38E-09,8.56E-07,8.56E-07,9.55E-08,9.55E-08,4.54E-09,4.54E-09,5.93E-07,5.93245E-07
0.028,1.92E-16,1.39E-13,1.25E-11,3.20E-09,3.06E-07,1.31E-06,1.31E-06,4.05E-04,4.05E-04,1.04E-02,1.04E-02,0.906617,0.0712144,0.000369233,0.000119547,0.000119547,3.10594E-06,3.10594E-06,1.70E-08,1.31E-06,1.31E-06,1.72E-07,1.72E-07,8.16E-09,8.16E-09,9.28E-07,9.27745E-07
0.032,5.54E-16,3.47E-13,2.71E-11,6.05E-09,5.05E-07,1.88E-06,1.88E-06,5.22E-04,5.22E-04,1.17E-02,1.17E-02,0.894341,0.0804844,0.000469064,0.000153636,0.000153636,4.56866E-06,4.56866E-06,2.82E-08,1.88E-06,1.88E-06,2.84E-07,2.84E-07,1.35E-08,1.35E-08,1.36E-06,1.36395E-06
0.036,1.39E-15,7.72E-13,5.35E-11,1.06E-08,7.83E-07,2.57E-06,2.57E-06,6.51E-04,6.51E-04,1.29E-02,1.29E-02,0.882315,0.0895451,0.000577513,0.000191334,0.000191334,6.4104E-06,6.4104E-06,4.42E-08,2.57E-06,2.57E-06,4.41E-07,4.41E-07,2.10E-08,2.10E-08,1.91E-06,1.91289E-06
