Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0.937954,0.0618186,0.000226869,2.51E-07,6.94E-10,1.12E-13,1.12E-13,1.10E-15,1.10E-15,7.90E-19,7.90E-19,-1.88E-22,-2.63E-24,-9.85E-28,-9.36E-23,-9.36E-23,-1.33E-24,-1.33E-24,-9.84E-28,1.82E-19,1.82E-19,-3.62E-22,-3.62E-22,-8.39E-25,-8.39E-25,-4.15E-24,-4.15411E-24
0.008,0.879858,0.119259,0.00088167,1.96E-06,1.09E-08,3.50E-12,3.50E-12,7.49E-14,7.49E-14,1.53E-16,1.53E-16,2.39E-19,5.11E-22,1.23E-25,1.20E-19,1.20E-19,2.57E-22,2.57E-22,1.24E-25,3.42E-17,3.42E-17,5.21E-19,5.21E-19,1.66E-22,1.66E-22,8.15E-22,8.14795E-22
0.012,0.825458,0.172608,0.0019277,6.45E-06,5.38E-08,2.56E-11,2.56E-11,8.29E-13,8.29E-13,2.60E-15,2.60E-15,6.42E-18,2.33E-20,1.12E-23,3.21E-18,3.21E-18,1.18E-20,1.18E-20,1.13E-23,5.71E-16,5.71E-16,1.38E-17,1.38E-17,7.35E-21,7.35E-21,3.66E-20,3.66387E-20
0.016,0.77452,0.222134,0.00333079,1.49E-05,1.66E-07,1.04E-10,1.04E-10,4.50E-12,4.50E-12,1.89E-14,1.89E-14,6.28E-17,3.08E-19,2.01E-22,3.14E-17,3.14E-17,1.56E-19,1.56E-19,2.04E-22,4.10E-15,4.10E-15,1.33E-16,1.33E-16,9.51E-20,9.51E-20,4.80E-19,4.79504E-19
0.02,0.726822,0.26809,0.00505915,2.84E-05,3.97E-07,3.04E-10,3.04E-10,1.66E-11,1.66E-11,8.72E-14,8.72E-14,3.64E-16,2.25E-18,1.84E-21,1.82E-16,1.82E-16,1.14E-18,1.14E-18,1.86E-21,1.87E-14,1.87E-14,7.62E-16,7.62E-16,6.77E-19,6.77E-19,3.46E-18,3.45676E-18
0.024,0.682157,0.310711,0.00708321,4.79E-05,8.07E-07,7.29E-10,7.29E-10,4.79E-11,4.79E-11,3.03E-13,3.03E-13,1.52E-15,1.13E-17,1.11E-20,7.58E-16,7.58E-16,5.76E-18,5.76E-18,1.13E-20,6.40E-14,6.40E-14,3.15E-15,3.15E-15,3.33E-18,3.33E-18,1.72E-17,1.72097E-17
0.028,0.640333,0.350216,0.00937545,7.42E-05,1.46E-06,1.52E-09,1.52E-09,1.17E-10,1.17E-10,8.63E-13,8.63E-13,5.06E-15,4.40E-17,5.02E-20,2.52E-15,2.52E-15,2.25E-17,2.25E-17,5.13E-20,1.80E-13,1.80E-13,1.04E-14,1.04E-14,1.27E-17,1.27E-17,6.64E-17,6.64165E-17
0.032,0.601167,0.386813,0.0119103,0.00010803,2.44E-06,2.85E-09,2.85E-09,2.51E-10,2.51E-10,2.13E-12,2.13E-12,1.43E-14,1.42E-16,1.85E-19,7.13E-15,7.13E-15,7.31E-17,7.31E-17,1.90E-19,4.38E-13,4.38E-13,2.90E-14,2.90E-14,4.02E-17,4.02E-17,2.13E-16,2.12826E-16
0.036,0.56449,0.420692,0.014664,0.000150114,3.83E-06,4.95E-09,4.95E-09,4.93E-10,4.93E-10,4.70E-12,4.70E-12,3.56E-14,4.00E-16,5.83E-19,1.77E-14,1.77E-14,2.06E-16,2.06E-16,5.99E-19,9.55E-13,9.55E-13,7.13E-14,7.13E-14,1.11E-16,1.11E-16,5.92E-16,5.91835E-16
0.04,0.530143,0.452036,0.0176145,0.000200985,5.71E-06,8.07E-09,8.07E-09,8.97E-10,8.97E-10,9.52E-12,9.52E-12,8.03E-14,1.00E-15,1.62E-18,4.00E-14,4.00E-14,5.18E-16,5.18E-16,1.67E-18,1.91E-12,1.91E-12,1.59E-13,1.59E-13,2.72E-16,2.72E-16,1.47E-15,1.47187E-15
0.044,0.497977,0.481012,0.0207412,0.000261136,8.19E-06,1.25E-08,1.25E-08,1.54E-09,1.54E-09,1.80E-11,1.80E-11,1.67E-13,2.30E-15,4.08E-18,8.32E-14,8.32E-14,1.19E-15,1.19E-15,4.21E-18,3.56E-12,3.56E-12,3.27E-13,3.27E-13,6.11E-16,6.11E-16,3.34E-15,3.34438E-15
0.048,0.467855,0.507778,0.0240252,0.000330986,1.14E-05,1.87E-08,1.87E-08,2.51E-09,2.51E-09,3.20E-11,3.20E-11,3.25E-13,4.90E-15,9.44E-18,1.62E-13,1.62E-13,2.54E-15,2.54E-15,9.76E-18,6.27E-12,6.27E-12,6.31E-13,6.31E-13,1.27E-15,1.27E-15,7.05E-15,7.0534E-15
0.052,0.439644,0.532481,0.0274488,0.000410889,1.53E-05,2.68E-08,2.68E-08,3.92E-09,3.92E-09,5.44E-11,5.44E-11,5.99E-13,9.80E-15,2.04E-17,2.98E-13,2.98E-13,5.09E-15,5.09E-15,2.11E-17,1.05E-11,1.05E-11,1.15E-12,1.15E-12,2.49E-15,2.49E-15,1.40E-14,1.39739E-14
0.056,0.413223,0.55526,0.0309956,0.00050114,2.02E-05,3.75E-08,3.75E-08,5.92E-09,5.92E-09,8.86E-11,8.86E-11,1.05E-12,1.86E-14,4.15E-17,5.24E-13,5.24E-13,9.67E-15,9.67E-15,4.30E-17,1.69E-11,1.69E-11,2.00E-12,2.00E-12,4.63E-15,4.63E-15,2.62E-14,2.62494E-14
0.06,0.388479,0.576243,0.0346505,0.000601978,2.61E-05,5.11E-08,5.11E-08,8.67E-09,8.67E-09,1.39E-10,1.39E-10,1.78E-12,3.37E-14,8.02E-17,8.84E-13,8.84E-13,1.75E-14,1.75E-14,8.34E-17,2.62E-11,2.62E-11,3.34E-12,3.34E-12,8.22E-15,8.22E-15,4.71E-14,4.70984E-14
0.064,0.365303,0.595551,0.0383994,0.000713591,3.30E-05,6.81E-08,6.81E-08,1.24E-08,1.24E-08,2.12E-10,2.12E-10,2.89E-12,5.86E-14,1.48E-16,1.44E-12,1.44E-12,3.06E-14,3.06E-14,1.55E-16,3.95E-11,3.95E-11,5.37E-12,5.37E-12,1.40E-14,1.40E-14,8.12E-14,8.1201E-14
