Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,-1.73E-23,-3.11E-20,-4.12E-18,-4.35E-16,5.91E-13,2.17E-11,2.17E-11,4.25E-08,4.25E-08,9.26E-06,9.26E-06,0.00897663,0.989011,0.0019941,1.27429E-08,1.27429E-08,4.40698E-11,4.40698E-11,3.03E-14,2.17E-11,2.17E-11,3.25E-13,3.25E-13,1.52E-14,1.52E-14,1.32E-11,1.32204E-11
0.01,-6.26E-22,-2.49E-19,3.92E-17,5.91E-14,2.12E-11,3.31E-10,3.31E-10,3.35E-07,3.35E-07,3.64E-05,3.64E-05,0.0176967,0.978417,0.003813,1.00107E-07,1.00107E-07,6.91195E-10,6.91195E-10,1.12E-12,3.31E-10,3.31E-10,1.17E-11,1.17E-11,5.53E-13,5.53E-13,2.07E-10,2.07156E-10
0.015,2.76E-21,5.56E-18,1.21E-15,7.08E-13,1.56E-10,1.60E-09,1.60E-09,1.11E-06,1.11E-06,8.05E-05,8.05E-05,0.0261683,0.968197,0.00547097,3.31788E-07,3.31788E-07,3.4385E-09,3.4385E-09,8.33E-12,1.60E-09,1.60E-09,8.67E-11,8.67E-11,4.09E-12,4.09E-12,1.03E-09,1.02974E-09
0.02,5.16E-20,6.10E-17,9.10E-15,3.88E-12,6.35E-10,4.85E-09,4.85E-09,2.60E-06,2.60E-06,1.41E-04,1.41E-04,0.0343994,0.958331,0.00698113,7.7237E-07,7.7237E-07,1.06827E-08,1.06827E-08,3.42E-11,4.85E-09,4.85E-09,3.53E-10,3.53E-10,1.67E-11,1.67E-11,3.20E-09,3.19689E-09
0.025,3.94E-19,3.63E-16,4.25E-14,1.43E-11,1.87E-09,1.13E-08,1.13E-08,4.99E-06,4.99E-06,2.16E-04,2.16E-04,0.0423974,0.948801,0.00835555,1.4816E-06,1.4816E-06,2.56399E-08,2.56399E-08,1.02E-10,1.13E-08,1.13E-08,1.04E-09,1.04E-09,4.94E-11,4.94E-11,7.67E-09,7.66795E-09
0.03,2.05E-18,1.54E-15,1.48E-13,4.14E-11,4.48E-09,2.26E-08,2.26E-08,8.49E-06,8.49E-06,3.06E-04,3.06E-04,0.0501696,0.93959,0.00960535,2.51465E-06,2.51465E-06,5.22725E-08,5.22725E-08,2.46E-10,2.26E-08,2.26E-08,2.50E-09,2.50E-09,1.19E-10,1.19E-10,1.56E-08,1.56233E-08
0.035,8.02E-18,5.16E-15,4.23E-13,1.01E-10,9.33E-09,4.01E-08,4.01E-08,1.33E-05,1.33E-05,4.10E-04,4.10E-04,0.0577228,0.930681,0.0107407,3.92236E-06,3.92236E-06,9.52185E-08,9.52185E-08,5.18E-10,4.01E-08,4.01E-08,5.23E-09,5.23E-09,2.49E-10,2.49E-10,2.84E-08,2.84434E-08
0.04,2.59E-17,1.46E-14,1.04E-12,2.18E-10,1.75E-08,6.57E-08,6.57E-08,1.95E-05,1.95E-05,5.27E-04,5.27E-04,0.0650637,0.92206,0.0117711,5.75145E-06,5.75145E-06,1.59727E-07,1.59727E-07,9.83E-10,6.57E-08,6.57E-08,9.85E-09,9.85E-09,4.70E-10,4.70E-10,4.77E-08,4.7689E-08
0.045,7.25E-17,3.65E-14,2.31E-12,4.27E-10,3.05E-08,1.01E-07,1.01E-07,2.73E-05,2.73E-05,6.56E-04,6.56E-04,0.0721988,0.913712,0.0127051,8.04485E-06,8.04485E-06,2.51595E-07,2.51595E-07,1.72E-09,1.01E-07,1.01E-07,1.72E-08,1.72E-08,8.20E-10,8.20E-10,7.51E-08,7.5083E-08
0.05,1.81E-16,8.23E-14,4.68E-12,7.76E-10,4.99E-08,1.48E-07,1.48E-07,3.69E-05,3.69E-05,7.97E-04,7.97E-04,0.0791342,0.905624,0.0135508,1.08417E-05,1.08417E-05,3.77113E-07,3.77113E-07,2.84E-09,1.48E-07,1.48E-07,2.81E-08,2.81E-08,1.35E-09,1.35E-09,1.12E-07,1.12495E-07
