Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW,a
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,
0.005,4.51E-25,-1.50E-22,2.44E-19,8.61E-16,6.78E-13,2.18E-11,2.18E-11,4.30E-08,4.30E-08,9.24E-06,9.24E-06,2.55E-08,8.79E-11,3.51E-14,4.47E-03,4.47E-03,4.94E-01,4.94E-01,0.00199205,2.67177E-08,2.67177E-08,3.93508E-05,3.93508E-05,0.000957615,0.000957615,9.3714E-06,9.3714E-06,
0.01,9.01E-23,2.36E-19,7.46E-17,6.53E-14,2.17E-11,3.36E-10,3.36E-10,3.42E-07,3.42E-07,3.63E-05,3.63E-05,2.00E-07,1.38E-09,1.13E-12,8.79E-03,8.79E-03,4.87E-01,4.87E-01,0.00380528,1.9669E-07,1.9669E-07,0.00014837,0.00014837,0.001761355,0.001761355,3.72761E-05,3.72761E-05,
0.015,4.30E-21,6.55E-18,1.29E-15,7.30E-13,1.60E-10,1.64E-09,1.64E-09,1.15E-06,1.15E-06,8.01E-05,8.01E-05,6.63E-07,6.88E-09,8.34E-12,1.30E-02,1.30E-02,4.81E-01,4.81E-01,0.00545458,6.11625E-07,6.11625E-07,0.000315117,0.000315117,0.00243466,0.00243466,8.33375E-05,8.33375E-05,
0.02,5.83E-20,6.51E-17,9.45E-15,3.99E-12,6.52E-10,5.00E-09,5.00E-09,2.69E-06,2.69E-06,1.40E-04,1.40E-04,1.54E-06,2.14E-08,3.42E-11,1.70E-02,1.70E-02,4.76E-01,4.76E-01,0.0069536,1.33753E-06,1.33753E-06,0.00052953,0.00052953,0.00299745,0.00299745,0.000147111,0.000147111,
0.025,4.27E-19,3.80E-16,4.39E-14,1.48E-11,1.93E-09,1.18E-08,1.18E-08,5.21E-06,5.21E-06,2.14E-04,2.14E-04,2.96E-06,5.13E-08,1.02E-10,2.09E-02,2.09E-02,4.70E-01,4.70E-01,0.00831486,2.4133E-06,2.4133E-06,0.00078314,0.00078314,0.00346662,0.00346662,0.000228099,0.000228099,
0.03,2.15E-18,1.60E-15,1.53E-13,4.28E-11,4.64E-09,2.35E-08,2.35E-08,8.91E-06,8.91E-06,3.03E-04,3.03E-04,5.01E-06,1.05E-07,2.46E-10,2.46E-02,2.46E-02,4.65E-01,4.65E-01,0.00954986,3.85755E-06,3.85755E-06,0.00106883,0.00106883,0.00385653,0.00385653,0.000325764,0.000325764,
0.035,8.34E-18,5.34E-15,4.38E-13,1.05E-10,9.72E-09,4.20E-08,4.20E-08,1.40E-05,1.40E-05,4.05E-04,4.05E-04,7.82E-06,1.90E-07,5.18E-10,2.83E-02,2.83E-02,4.60E-01,4.60E-01,0.0106691,5.67395E-06,5.67395E-06,0.001380615,0.001380615,0.004179355,0.004179355,0.00043954,0.00043954,
0.04,2.69E-17,1.52E-14,1.08E-12,2.27E-10,1.84E-08,6.92E-08,6.92E-08,2.07E-05,2.07E-05,5.19E-04,5.19E-04,1.15E-05,3.19E-07,9.83E-10,3.18E-02,3.18E-02,4.55E-01,4.55E-01,0.0116823,7.85545E-06,7.85545E-06,0.00171348,0.00171348,0.004445445,0.004445445,0.00056884,0.00056884,
0.045,7.53E-17,3.79E-14,2.40E-12,4.46E-10,3.20E-08,1.07E-07,1.07E-07,2.91E-05,2.91E-05,6.45E-04,6.45E-04,1.60E-05,5.03E-07,1.72E-09,3.52E-02,3.52E-02,4.50E-01,4.50E-01,0.0125983,1.03876E-05,1.03876E-05,0.00206323,0.00206323,0.00466357,0.00466357,0.00071306,0.00071306,
