Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
0.004,-2.00E-21,-1.90E-18,-8.40E-17,1.93E-13,1.58E-10,4.86E-09,4.86E-09,8.98E-06,8.98E-06,1.63E-03,1.63E-03,5.38E-06,1.98E-08,8.22E-12,4.91E-01,4.91E-01,5.43E-03,5.43E-03,8.92E-06,9.75E-09,9.75E-09,9.08E-06,9.08E-06,4.37E-06,4.37E-06,1.63E-03,0.00162796
0.008,-5.62E-20,-9.16E-18,6.24E-15,6.99E-12,2.42E-09,3.72E-08,3.72E-08,3.54E-05,3.54E-05,3.19E-03,3.19E-03,2.12E-05,1.56E-07,1.28E-10,4.83E-01,4.83E-01,1.07E-02,1.07E-02,3.46E-05,7.51E-08,7.51E-08,3.62E-05,3.62E-05,1.66E-05,1.66E-05,3.20E-03,0.0032046
0.012,1.82E-19,3.66E-16,8.42E-14,5.20E-11,1.18E-08,1.20E-07,1.20E-07,7.84E-05,7.84E-05,4.71E-03,4.71E-03,4.69E-05,5.19E-07,6.32E-10,4.74E-01,4.74E-01,1.59E-02,1.59E-02,7.55E-05,2.44E-07,2.44E-07,8.10E-05,8.10E-05,3.56E-05,3.56E-05,4.73E-03,0.00473143
0.016,2.01E-18,2.84E-15,4.69E-13,2.13E-10,3.61E-08,2.74E-07,2.74E-07,1.37E-04,1.37E-04,6.17E-03,6.17E-03,8.20E-05,1.21E-06,1.95E-09,4.66E-01,4.66E-01,2.08E-02,2.08E-02,0.000130315,5.56935E-07,5.56935E-07,0.000143208,0.000143208,0.000060377,0.000060377,0.00620995,0.00620995
0.02,1.37E-17,1.38E-14,1.75E-12,6.30E-10,8.50E-08,5.13E-07,5.13E-07,2.11E-04,2.11E-04,7.58E-03,7.58E-03,0.000126017,2.34E-06,4.64E-09,4.58E-01,4.58E-01,2.57E-02,2.57E-02,0.000197612,1.04789E-06,1.04789E-06,0.000222487,0.000222487,0.000089962,0.000089962,0.0076415,0.0076415
0.024,5.78E-17,4.84E-14,5.09E-12,1.52E-09,1.70E-07,8.52E-07,8.52E-07,3.00E-04,3.00E-04,8.94E-03,8.94E-03,0.000178534,3.98E-06,9.40E-09,4.51E-01,4.51E-01,3.04E-02,3.04E-02,0.000276221,1.745E-06,1.745E-06,0.000318427,0.000318427,0.000123628,0.000123628,0.0090276,0.0090276
0.028,1.96E-16,1.40E-13,1.25E-11,3.18E-09,3.05E-07,1.30E-06,1.30E-06,4.02E-04,4.02E-04,1.03E-02,1.03E-02,0.000239093,6.23E-06,1.70E-08,4.43E-01,4.43E-01,3.50E-02,3.50E-02,0.000365015,2.67135E-06,2.67135E-06,0.000430613,0.000430613,0.000160705,0.000160705,0.01036955,0.01036955
0.032,5.56E-16,3.47E-13,2.71E-11,6.02E-09,5.03E-07,1.86E-06,1.86E-06,5.17E-04,5.17E-04,1.15E-02,1.15E-02,0.000307272,9.17E-06,2.83E-08,4.36E-01,4.36E-01,3.95E-02,3.95E-02,0.000462952,3.84553E-06,3.84553E-06,0.00055861,0.00055861,0.000200608,0.000200608,0.01166865,0.01166865
0.036,1.39E-15,7.71E-13,5.33E-11,1.05E-08,7.79E-07,2.55E-06,2.55E-06,6.45E-04,6.45E-04,1.27E-02,1.27E-02,0.000382667,1.29E-05,4.43E-08,4.28E-01,4.28E-01,4.38E-02,4.38E-02,0.000569064,5.28225E-06,5.28225E-06,0.00070197,0.00070197,0.000242828,0.000242828,0.01292625,0.01292625
