Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
0.005,-7.09E-21,-6.27E-18,-1.95E-16,5.91E-13,3.82E-10,9.38E-09,9.38E-09,1.40E-05,1.40E-05,2.02E-03,2.02E-03,8.38E-06,3.85E-08,2.00E-11,4.89E-01,4.89E-01,6.77E-03,6.77E-03,1.38E-05,1.89E-08,1.89E-08,1.42E-05,1.42E-05,6.75E-06,6.75E-06,2.03E-03,0.002026875
0.01,-5.72E-20,5.75E-17,2.67E-14,2.11E-11,5.81E-09,7.12E-08,7.12E-08,5.48E-05,5.48E-05,3.96E-03,3.96E-03,3.28E-05,3.03E-07,3.09E-10,4.79E-01,4.79E-01,1.33E-02,1.33E-02,5.33E-05,1.44E-07,1.44E-07,5.64E-05,5.64E-05,2.54E-05,2.54E-05,3.97E-03,0.00397415
0.015,1.25E-18,1.82E-15,3.20E-13,1.55E-10,2.81E-08,2.28E-07,2.28E-07,1.21E-04,1.21E-04,5.81E-03,5.81E-03,7.23E-05,1.00E-06,1.51E-09,4.68E-01,4.68E-01,1.96E-02,1.96E-02,0.000115398,4.63232E-07,4.63232E-07,0.000126038,0.000126038,0.000053706,0.000053706,0.00584475,0.00584475
0.02,1.35E-17,1.37E-14,1.75E-12,6.30E-10,8.50E-08,5.13E-07,5.13E-07,2.11E-04,2.11E-04,7.58E-03,7.58E-03,0.000126017,2.34E-06,4.64E-09,4.58E-01,4.58E-01,2.57E-02,2.57E-02,0.000197612,1.04789E-06,1.04789E-06,0.000222487,0.000222487,0.000089962,0.000089962,0.0076415,0.0076415
0.025,7.99E-17,6.41E-14,6.46E-12,1.85E-09,1.99E-07,9.53E-07,9.53E-07,3.24E-04,3.24E-04,9.27E-03,9.27E-03,0.000192937,4.48E-06,1.10E-08,4.49E-01,4.49E-01,3.16E-02,3.16E-02,0.000297507,1.9543E-06,1.9543E-06,0.000344967,0.000344967,0.000132602,0.000132602,0.0093672,0.0093672
0.03,3.37E-16,2.23E-13,1.86E-11,4.43E-09,3.95E-07,1.57E-06,1.57E-06,4.58E-04,4.58E-04,1.09E-02,1.09E-02,0.000272256,7.61E-06,2.21E-08,4.39E-01,4.39E-01,3.73E-02,3.73E-02,0.000412903,3.22646E-06,3.22646E-06,0.000492664,0.000492664,0.000180337,0.000180337,0.0110244,0.0110244
0.035,1.12E-15,6.37E-13,4.53E-11,9.21E-09,7.02E-07,2.37E-06,2.37E-06,6.12E-04,6.12E-04,1.24E-02,1.24E-02,0.000363164,1.19E-05,3.98E-08,4.30E-01,4.30E-01,4.28E-02,4.28E-02,0.00054182,4.89777E-06,4.89777E-06,0.000664715,0.000664715,0.000232081,0.000232081,0.01261565,0.01261565
0.04,3.14E-15,1.57E-12,9.76E-11,1.73E-08,1.15E-06,3.37E-06,3.37E-06,7.85E-04,7.85E-04,1.39E-02,1.39E-02,0.00046489,1.74E-05,6.59E-08,4.21E-01,4.21E-01,4.81E-02,4.81E-02,0.000682456,6.9927E-06,6.9927E-06,0.000860235,0.000860235,0.000286923,0.000286923,0.01414355,0.01414355
0.045,7.77E-15,3.47E-12,1.91E-10,3.00E-08,1.77E-06,4.57E-06,4.57E-06,9.76E-04,9.76E-04,1.53E-02,1.53E-02,0.000576702,2.43E-05,1.03E-07,4.13E-01,4.13E-01,5.32E-02,5.32E-02,0.000833178,9.5281E-06,9.5281E-06,0.001078305,0.001078305,0.000344095,0.000344095,0.01561035,0.01561035
0.05,1.74E-14,7.04E-12,3.47E-10,4.90E-08,2.58E-06,5.98E-06,5.98E-06,1.18E-03,1.18E-03,1.67E-02,1.67E-02,0.000697903,3.28E-05,1.52E-07,4.04E-01,4.04E-01,5.82E-02,5.82E-02,0.000992503,1.25146E-05,1.25146E-05,0.001318005,0.001318005,0.000402956,0.000402956,0.0170184,0.0170184
0.055,3.60E-14,1.33E-11,5.94E-10,7.60E-08,3.64E-06,7.60E-06,7.60E-06,1.41E-03,1.41E-03,1.80E-02,1.80E-02,0.000827831,4.29E-05,2.16E-07,3.96E-01,3.96E-01,6.29E-02,6.29E-02,0.00115909,1.59571E-05,1.59571E-05,0.00157841,0.00157841,0.00046297,0.00046297,0.0183699,0.0183699
0.06,6.95E-14,2.37E-11,9.68E-10,1.13E-07,4.95E-06,9.42E-06,9.42E-06,1.64E-03,1.64E-03,1.92E-02,1.92E-02,0.000965858,5.47E-05,2.97E-07,3.88E-01,3.88E-01,6.76E-02,6.76E-02,0.00133171,1.98564E-05,1.98564E-05,0.0018586,0.0018586,0.00052369,0.00052369,0.01966705,0.01966705
0.065,1.27E-13,4.02E-11,1.51E-09,1.63E-07,6.56E-06,1.14E-05,1.14E-05,1.90E-03,1.90E-03,2.04E-02,2.04E-02,0.00111139,6.83E-05,3.97E-07,3.81E-01,3.81E-01,7.20E-02,7.20E-02,0.00150928,2.42096E-05,2.42096E-05,0.00215766,0.00215766,0.000584735,0.000584735,0.02091185,0.02091185
0.07,2.22E-13,6.55E-11,2.28E-09,2.28E-07,8.49E-06,1.37E-05,1.37E-05,2.16E-03,2.16E-03,2.15E-02,2.15E-02,0.00126385,8.39E-05,5.19E-07,3.73E-01,3.73E-01,7.64E-02,7.64E-02,0.00169079,2.90106E-05,2.90106E-05,0.002474685,0.002474685,0.00064581,0.00064581,0.02210635,0.02210635
0.075,3.72E-13,1.03E-10,3.34E-09,3.10E-07,1.08E-05,1.61E-05,1.61E-05,2.44E-03,2.44E-03,2.25E-02,2.25E-02,0.0014227,0.000101389,6.65E-07,3.66E-01,3.66E-01,8.05E-02,8.05E-02,0.00187535,3.42507E-05,3.42507E-05,0.00280879,0.00280879,0.00070665,0.00070665,0.02325245,0.02325245
0.08,6.01E-13,1.57E-10,4.76E-09,4.14E-07,1.34E-05,1.87E-05,1.87E-05,2.72E-03,2.72E-03,2.36E-02,2.36E-02,0.00158745,0.000120932,8.37E-07,3.59E-01,3.59E-01,8.46E-02,8.46E-02,0.00206216,3.99196E-05,3.99196E-05,0.003159115,0.003159115,0.00076705,0.00076705,0.024352,0.024352
0.085,9.42E-13,2.33E-10,6.62E-09,5.41E-07,1.65E-05,2.15E-05,2.15E-05,3.02E-03,3.02E-03,2.45E-02,2.45E-02,0.00175759,0.000142566,1.04E-06,3.52E-01,3.52E-01,8.85E-02,8.85E-02,0.00225048,4.60049E-05,4.60049E-05,0.003524805,0.003524805,0.00082684,0.00082684,0.02540685,0.02540685
0.09,1.44E-12,3.37E-10,9.03E-09,6.96E-07,2.00E-05,2.45E-05,2.45E-05,3.33E-03,3.33E-03,2.55E-02,2.55E-02,0.00193268,0.000166341,1.27E-06,3.45E-01,3.45E-01,9.22E-02,9.22E-02,0.00243966,5.24935E-05,5.24935E-05,0.003905035,0.003905035,0.00088588,0.00088588,0.02641865,0.02641865
0.095,2.14E-12,4.77E-10,1.21E-08,8.81E-07,2.39E-05,2.76E-05,2.76E-05,3.65E-03,3.65E-03,2.63E-02,2.63E-02,0.00211227,0.000192301,1.53E-06,3.39E-01,3.39E-01,9.59E-02,9.59E-02,0.00262911,5.93705E-05,5.93705E-05,0.00429901,0.00429901,0.000944055,0.000944055,0.0273891,0.0273891
0.1,3.11E-12,6.63E-10,1.59E-08,1.10E-06,2.83E-05,3.09E-05,3.09E-05,3.97E-03,3.97E-03,2.72E-02,2.72E-02,0.00229596,0.000220483,1.82E-06,3.33E-01,3.33E-01,9.94E-02,9.94E-02,0.00281832,6.66215E-05,6.66215E-05,0.00470595,0.00470595,0.001001285,0.001001285,0.02831975,0.02831975
0.105,4.44E-12,9.06E-10,2.07E-08,1.36E-06,3.32E-05,3.43E-05,3.43E-05,4.31E-03,4.31E-03,2.80E-02,2.80E-02,0.00248335,0.000250918,2.16E-06,3.27E-01,3.27E-01,1.03E-01,1.03E-01,0.00300682,7.42305E-05,7.42305E-05,0.0051251,0.0051251,0.001057495,0.001057495,0.02921225,0.02921225
0.11,6.21E-12,1.22E-09,2.65E-08,1.66E-06,3.86E-05,3.79E-05,3.79E-05,4.65E-03,4.65E-03,2.87E-02,2.87E-02,0.00267409,0.000283632,2.53E-06,3.21E-01,3.21E-01,1.06E-01,1.06E-01,0.00319418,0.000082182,0.000082182,0.0055557,0.0055557,0.001112635,0.001112635,0.03006805,0.03006805
0.115,8.57E-12,1.62E-09,3.35E-08,2.00E-06,4.45E-05,4.16E-05,4.16E-05,4.99E-03,4.99E-03,2.95E-02,2.95E-02,0.00286781,0.000318647,2.94E-06,3.15E-01,3.15E-01,1.09E-01,1.09E-01,0.00338005,9.04595E-05,9.04595E-05,0.00599715,0.00599715,0.001166665,0.001166665,0.0308886,0.0308886
