Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
0.005,2.67E-18,9.09E-15,3.95E-12,4.73E-09,2.05E-06,3.74E-05,3.74E-05,3.68E-02,3.68E-02,1.71E-04,1.71E-04,4.77E-07,1.66E-09,6.87E-13,4.79E-07,4.79E-07,1.03E-06,1.03E-06,1.07E-09,4.26E-01,4.26E-01,3.68E-02,3.68E-02,3.74E-05,3.74E-05,1.71E-04,0.000171291
0.01,3.27E-16,5.53E-13,1.19E-10,7.05E-08,1.51E-05,1.34E-04,1.34E-04,6.76E-02,6.76E-02,6.42E-04,6.42E-04,3.62E-06,2.54E-08,2.09E-11,3.65E-06,3.65E-06,7.55E-06,7.55E-06,1.58E-08,3.63E-01,3.63E-01,6.76E-02,6.76E-02,1.34E-04,1.34E-04,6.44E-04,0.000644015
0.015,5.28E-15,5.97E-12,8.48E-10,3.33E-07,4.68E-05,2.71E-04,2.71E-04,9.35E-02,9.35E-02,1.36E-03,1.36E-03,1.16E-05,1.23E-07,1.51E-10,1.18E-05,1.18E-05,2.35E-05,2.35E-05,7.36E-08,3.10E-01,3.10E-01,9.35E-02,9.35E-02,2.71E-04,2.71E-04,1.36E-03,0.001363675
0.02,3.74E-14,3.18E-11,3.36E-09,9.81E-07,0.000102198,0.000433326,0.000433326,0.115104,0.115104,0.002271215,0.002271215,2.62E-05,3.72E-07,6.06E-10,2.66E-05,2.66E-05,5.14E-05,5.14E-05,2.14E-07,2.64E-01,2.64E-01,1.15E-01,1.15E-01,4.33E-04,4.33E-04,2.28E-03,0.00228425
0.025,1.68E-13,1.15E-10,9.65E-09,2.24E-06,0.000184091,0.000609585,0.000609585,0.133116,0.133116,0.003342695,0.003342695,4.86E-05,8.71E-07,1.76E-09,4.96E-05,4.96E-05,9.27E-05,9.27E-05,4.83E-07,2.26E-01,2.26E-01,1.33E-01,1.33E-01,6.10E-04,6.10E-04,3.37E-03,0.003366885
0.03,5.70E-13,3.25E-10,2.26E-08,4.33E-06,0.000293733,0.000791465,0.000791465,0.1480805,0.1480805,0.00453908,0.00453908,8.00E-05,1.73E-06,4.18E-09,8.19E-05,8.19E-05,1.48E-04,1.48E-04,9.26E-07,1.93E-01,1.93E-01,1.48E-01,1.48E-01,7.91E-04,7.91E-04,4.58E-03,0.004578835
0.035,1.59E-12,7.78E-10,4.61E-08,7.51E-06,0.0004312,0.000972765,0.000972765,0.1604645,0.1604645,0.0058324,0.0058324,0.00012109,3.08E-06,8.61E-09,1.24E-04,1.24E-04,2.18E-04,2.18E-04,1.59E-06,1.65E-01,1.65E-01,1.60E-01,1.60E-01,9.73E-04,9.73E-04,5.89E-03,0.0058925
0.04,3.82E-12,1.65E-09,8.48E-08,1.20E-05,0.000595731,0.00114902,0.00114902,0.170665,0.170665,0.00719925,0.00719925,0.000172357,5.05E-06,1.60E-08,1.78E-04,1.78E-04,3.02E-04,3.02E-04,2.50E-06,1.41E-01,1.41E-01,1.71E-01,1.71E-01,1.15E-03,1.15E-03,7.28E-03,0.0072847
0.045,8.24E-12,3.17E-09,1.44E-07,1.80E-05,0.000785977,0.00131713,0.00131713,0.179017,0.179017,0.00861995,0.00861995,0.000234172,7.76E-06,2.75E-08,2.42E-04,2.42E-04,3.99E-04,3.99E-04,3.71E-06,1.21E-01,1.21E-01,1.79E-01,1.79E-01,1.32E-03,1.32E-03,8.74E-03,0.0087359
