Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,2.27E-13,6.85E-10,2.47E-07,0.000222141,0.0598975,0.43988,0.43988,0.0299238,0.0299238,0.000110886,0.000110886,2.47E-07,6.85E-10,2.27E-13,1.23E-07,1.23E-07,3.45E-10,3.45E-10,2.29E-13,2.45E-05,2.45E-05,5.34E-07,5.34E-07,2.20E-10,2.20E-10,1.09E-09,1.08537E-09
0.008,7.00E-12,1.06E-08,1.90E-06,0.000845817,0.11207,0.3870825,0.3870825,0.0559415,0.0559415,0.000421499,0.000421499,1.89E-06,1.06E-08,6.99E-12,9.45E-07,9.45E-07,5.36E-09,5.36E-09,7.08E-12,8.97E-05,8.97E-05,3.99E-06,3.99E-06,3.25E-09,3.25E-09,1.64E-08,1.64259E-08
0.012,5.12E-11,5.18E-08,6.16E-06,0.00181295,0.157466,0.3407145,0.3407145,0.078537,0.078537,0.00090193,0.00090193,6.13E-06,5.17E-08,5.10E-11,3.06E-06,3.06E-06,2.64E-08,2.64E-08,5.19E-11,1.85E-04,1.85E-04,1.26E-05,1.26E-05,1.52E-08,1.52E-08,7.87E-08,7.8707E-08
0.016,2.07E-10,1.58E-07,1.40E-05,0.00307274,0.19692,0.299992,0.299992,0.098134,0.098134,0.00152608,0.00152608,1.40E-05,1.58E-07,2.07E-10,6.95E-06,6.95E-06,8.10E-08,8.10E-08,2.11E-10,3.02E-04,3.02E-04,2.79E-05,2.79E-05,4.45E-08,4.45E-08,2.36E-07,2.35585E-07
0.02,6.09E-10,3.74E-07,2.63E-05,0.00458076,0.231163,0.2642275,0.2642275,0.115104,0.115104,0.00227116,0.00227116,2.62E-05,3.72E-07,6.06E-10,1.30E-05,1.30E-05,1.92E-07,1.92E-07,6.23E-10,4.33E-04,4.33E-04,5.10E-05,5.10E-05,1.00E-07,1.00E-07,5.45E-07,5.4503E-07
0.024,1.46E-09,7.51E-07,4.38E-05,0.00629817,0.260838,0.232817,0.232817,0.129774,0.129774,0.003117315,0.003117315,4.35E-05,7.46E-07,1.45E-09,2.16E-05,2.16E-05,3.87E-07,3.87E-07,1.50E-09,5.74E-04,5.74E-04,8.26E-05,8.26E-05,1.93E-07,1.93E-07,1.07E-06,1.0716E-06
0.028,3.03E-09,1.35E-06,6.69E-05,0.00819105,0.286508,0.2052285,0.2052285,0.142429,0.142429,0.00404723,0.00404723,6.63E-05,1.34E-06,3.02E-09,3.30E-05,3.30E-05,6.96E-07,6.96E-07,3.12E-09,7.18E-04,7.18E-04,1.23E-04,1.23E-04,3.31E-07,3.31E-07,1.88E-06,1.88347E-06
0.032,5.70E-09,2.22E-06,9.62E-05,0.0102298,0.308669,0.1809975,0.1809975,0.1533205,0.1533205,0.00504585,0.00504585,9.53E-05,2.21E-06,5.66E-09,4.73E-05,4.73E-05,1.15E-06,1.15E-06,5.88E-09,8.64E-04,8.64E-04,1.72E-04,1.72E-04,5.23E-07,5.23E-07,3.05E-06,3.05009E-06
0.036,9.89E-09,3.45E-06,0.000131997,0.0123886,0.327755,0.1597145,0.1597145,0.1626685,0.1626685,0.00610005,0.00610005,0.000130508,3.42E-06,9.82E-09,6.48E-05,6.48E-05,1.79E-06,1.79E-06,1.02E-08,1.01E-03,1.01E-03,2.30E-04,2.30E-04,7.78E-07,7.78E-07,4.64E-06,4.64038E-06
0.04,1.61E-08,5.10E-06,0.000174533,0.0146448,0.344147,0.1410195,0.1410195,0.170666,0.170666,0.0071985,0.0071985,0.000172347,5.05E-06,1.60E-08,8.55E-05,8.55E-05,2.66E-06,2.66E-06,1.68E-08,1.15E-03,1.15E-03,2.97E-04,2.97E-04,1.10E-06,1.10E-06,6.72E-06,6.72135E-06
0.044,2.51E-08,7.23E-06,0.000224022,0.016979,0.35818,0.124598,0.124598,0.177482,0.177482,0.00833125,0.00833125,0.000220937,7.15E-06,2.48E-08,1.10E-04,1.10E-04,3.78E-06,3.78E-06,2.61E-08,1.28E-03,1.28E-03,3.71E-04,3.71E-04,1.50E-06,1.50E-06,9.36E-06,9.35715E-06
0.048,3.73E-08,9.93E-06,0.000280596,0.019374,0.370148,0.1101725,0.1101725,0.1832645,0.1832645,0.00948975,0.00948975,0.000276384,9.81E-06,3.69E-08,1.37E-04,1.37E-04,5.20E-06,5.20E-06,3.89E-08,1.41E-03,1.41E-03,4.54E-04,4.54E-04,1.97E-06,1.97E-06,1.26E-05,1.26082E-05
0.052,5.37E-08,1.33E-05,0.000344333,0.021815,0.38031,0.0975,0.0975,0.1881445,0.1881445,0.01066665,0.01066665,0.000338738,1.31E-05,5.31E-08,1.68E-04,1.68E-04,6.95E-06,6.95E-06,5.60E-08,1.54E-03,1.54E-03,5.43E-04,5.43E-04,2.52E-06,2.52E-06,1.65E-05,1.65306E-05
0.056,7.50E-08,1.73E-05,0.000415267,0.0242892,0.38889,0.0863665,0.0863665,0.192235,0.192235,0.0118555,0.0118555,0.000408005,1.71E-05,7.41E-08,2.02E-04,2.02E-04,9.08E-06,9.08E-06,7.84E-08,1.65E-03,1.65E-03,6.39E-04,6.39E-04,3.16E-06,3.16E-06,2.12E-05,2.11761E-05
0.06,1.02E-07,2.21E-05,0.000493388,0.0267853,0.396089,0.076585,0.076585,0.195637,0.195637,0.0130508,0.0130508,0.000484151,2.18E-05,1.01E-07,2.39E-04,2.39E-04,1.16E-05,1.16E-05,1.07E-07,1.76E-03,1.76E-03,7.42E-04,7.42E-04,3.88E-06,3.88E-06,2.66E-05,2.65919E-05
0.064,1.36E-07,2.78E-05,0.000578659,0.0292939,0.40208,0.0679905,0.0679905,0.1984375,0.1984375,0.0142478,0.0142478,0.00056711,2.74E-05,1.34E-07,2.80E-04,2.80E-04,1.46E-05,1.46E-05,1.43E-07,1.85E-03,1.85E-03,8.50E-04,8.50E-04,4.68E-06,4.68E-06,3.28E-05,3.28202E-05
0.068,1.78E-07,3.44E-05,0.000671009,0.0318064,0.407016,0.0604385,0.0604385,0.2007135,0.2007135,0.01544245,0.01544245,0.000656791,3.39E-05,1.75E-07,3.24E-04,3.24E-04,1.81E-05,1.81E-05,1.87E-07,1.95E-03,1.95E-03,9.63E-04,9.63E-04,5.56E-06,5.56E-06,3.99E-05,3.98986E-05
0.072,2.29E-07,4.20E-05,0.000770347,0.0343158,0.411031,0.053802,0.053802,0.2025325,0.2025325,0.01663125,0.01663125,0.000753076,4.13E-05,2.25E-07,3.71E-04,3.71E-04,2.21E-05,2.21E-05,2.40E-07,2.03E-03,2.03E-03,1.08E-03,1.08E-03,6.53E-06,6.53E-06,4.79E-05,4.78601E-05
0.076,2.89E-07,5.07E-05,0.000876559,0.036816,0.414243,0.0479695,0.0479695,0.203953,0.203953,0.01781125,0.01781125,0.00085583,4.98E-05,2.85E-07,4.22E-04,4.22E-04,2.67E-05,2.67E-05,3.04E-07,2.11E-03,2.11E-03,1.20E-03,1.20E-03,7.57E-06,7.57E-06,5.67E-05,5.67335E-05
0.08,3.61E-07,6.05E-05,0.000989517,0.0393015,0.416756,0.042843,0.042843,0.2050275,0.2050275,0.01897995,0.01897995,0.000964903,5.93E-05,3.55E-07,4.75E-04,4.75E-04,3.18E-05,3.18E-05,3.80E-07,2.17E-03,2.17E-03,1.33E-03,1.33E-03,8.69E-06,8.69E-06,6.65E-05,6.65425E-05
0.084,4.46E-07,7.15E-05,0.00110908,0.041768,0.418659,0.03833655,0.03833655,0.205801,0.205801,0.0201352,0.0201352,0.00108013,7.00E-05,4.38E-07,5.31E-04,5.31E-04,3.76E-05,3.76E-05,4.68E-07,2.24E-03,2.24E-03,1.45E-03,1.45E-03,9.88E-06,9.88E-06,7.73E-05,0.000077308
0.088,5.43E-07,8.38E-05,0.00123509,0.0442117,0.420033,0.03437465,0.03437465,0.2063125,0.2063125,0.0212753,0.0212753,0.00120134,8.20E-05,5.33E-07,5.90E-04,5.90E-04,4.41E-05,4.41E-05,5.71E-07,2.29E-03,2.29E-03,1.59E-03,1.59E-03,1.11E-05,1.11E-05,8.90E-05,0.000089046
0.092,6.56E-07,9.73E-05,0.00136738,0.0466292,0.420947,0.03089105,0.03089105,0.206598,0.206598,0.0223987,0.0223987,0.00132835,9.51E-05,6.43E-07,6.52E-04,6.52E-04,5.12E-05,5.12E-05,6.90E-07,2.34E-03,2.34E-03,1.72E-03,1.72E-03,1.25E-05,1.25E-05,1.02E-04,0.00010177
0.096,7.85E-07,0.000112249,0.00150579,0.0490179,0.421462,0.0278275,0.0278275,0.2066865,0.2066865,0.0235042,0.0235042,0.00146098,0.000109626,7.69E-07,7.17E-04,7.17E-04,5.90E-05,5.90E-05,8.25E-07,2.39E-03,2.39E-03,1.85E-03,1.85E-03,1.38E-05,1.38E-05,1.15E-04,0.000115489
0.1,9.31E-07,0.00012861,0.00165014,0.0513755,0.421631,0.02513285,0.02513285,0.206606,0.206606,0.02459085,0.02459085,0.00159903,0.000125483,9.11E-07,7.84E-04,7.84E-04,6.76E-05,6.76E-05,9.78E-07,2.43E-03,2.43E-03,1.99E-03,1.99E-03,1.53E-05,1.53E-05,1.30E-04,0.00013021
0.104,1.10E-06,0.00014645,0.00180024,0.0537002,0.421502,0.02276225,0.02276225,0.2063795,0.2063795,0.02565785,0.02565785,0.00174231,0.000142752,1.07E-06,8.54E-04,8.54E-04,7.69E-05,7.69E-05,1.15E-06,2.46E-03,2.46E-03,2.13E-03,2.13E-03,1.68E-05,1.68E-05,1.46E-04,0.000145936
0.108,1.28E-06,0.000165819,0.00195593,0.0559905,0.421115,0.02067625,0.02067625,0.2060265,0.2060265,0.02670455,0.02670455,0.00189062,0.000161477,1.25E-06,9.26E-04,9.26E-04,8.70E-05,8.70E-05,1.34E-06,2.49E-03,2.49E-03,2.27E-03,2.27E-03,1.83E-05,1.83E-05,1.63E-04,0.000162669
