Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,4.39E-11,8.52E-08,1.85E-05,0.00897662,0.989009,0.000958615,0.000958615,3.93354E-05,3.93354E-05,1.20569E-07,1.20569E-07,2.51E-10,6.72E-13,1.93E-16,1.26E-10,1.26E-10,3.38E-13,3.38E-13,1.93E-16,2.67E-08,2.67E-08,5.44E-10,5.44E-10,2.17E-13,2.17E-13,1.07E-12,1.06822E-12
0.01,6.83E-10,6.72E-07,7.30E-05,0.0176966,0.978401,0.00176501,0.00176501,0.000148239,0.000148239,9.17165E-07,9.17165E-07,3.84E-09,2.14E-11,1.45E-14,1.92E-09,1.92E-09,1.08E-11,1.08E-11,1.47E-14,1.96E-07,1.96E-07,8.09E-09,8.09E-09,6.56E-12,6.56E-12,3.32E-11,3.31534E-11
0.015,3.37E-09,2.24E-06,0.000161755,0.026168,0.968147,0.00244221,0.00244221,0.000314646,0.000314646,2.9457E-06,2.9457E-06,1.86E-08,1.56E-10,1.60E-13,9.29E-09,9.29E-09,7.99E-11,7.99E-11,1.63E-13,6.09E-07,6.09E-07,3.82E-08,3.82E-08,4.58E-11,4.58E-11,2.38E-10,2.37667E-10
0.02,1.04E-08,5.22E-06,0.000283165,0.0343983,0.958221,0.003009775,0.003009775,0.000528355,0.000528355,0.00000665,0.00000665,5.64E-08,6.35E-10,8.61E-13,2.81E-08,2.81E-08,3.26E-10,3.26E-10,8.82E-13,1.33E-06,1.33E-06,1.13E-07,1.13E-07,1.78E-10,1.78E-10,9.45E-10,9.45125E-10
0.025,2.46E-08,1.01E-05,0.000435703,0.042395,0.948599,0.00348432,0.00348432,0.000780755,0.000780755,1.23797E-05,1.23797E-05,1.32E-07,1.87E-09,3.15E-12,6.57E-08,6.57E-08,9.64E-10,9.64E-10,3.24E-12,2.40E-06,2.40E-06,2.57E-07,2.57E-07,5.00E-10,5.00E-10,2.72E-09,2.72345E-09
0.03,4.97E-08,1.71E-05,0.000617894,0.0501648,0.939261,0.00387998,0.00387998,0.001064555,0.001064555,2.04055E-05,2.04055E-05,2.62E-07,4.48E-09,9.00E-12,1.31E-07,1.31E-07,2.32E-09,2.32E-09,9.30E-12,3.82E-06,3.82E-06,5.00E-07,5.00E-07,1.15E-09,1.15E-09,6.40E-09,6.40325E-09
0.035,8.96E-08,2.68E-05,0.000828316,0.0577144,0.93019,0.00420875,0.00420875,0.001373625,0.001373625,3.09319E-05,3.09319E-05,4.67E-07,9.33E-09,2.18E-11,2.32E-07,2.32E-07,4.86E-09,4.86E-09,2.26E-11,5.61E-06,5.61E-06,8.67E-07,8.67E-07,2.29E-09,2.29E-09,1.31E-08,1.3086E-08
0.04,1.49E-07,3.95E-05,0.0010656,0.0650502,0.921369,0.00448083,0.00448083,0.001702785,0.001702785,4.41083E-05,4.41083E-05,7.64E-07,1.75E-08,4.65E-11,3.80E-07,3.80E-07,9.18E-09,9.18E-09,4.84E-11,7.76E-06,7.76E-06,1.39E-06,1.39E-06,4.12E-09,4.12E-09,2.41E-08,2.41399E-08
0.045,2.32E-07,5.54E-05,0.00132845,0.0721783,0.912785,0.004704885,0.004704885,0.002047675,0.002047675,0.000060038,0.000060038,1.18E-06,3.05E-08,9.03E-11,5.84E-07,5.84E-07,1.60E-08,1.60E-08,9.44E-11,1.02E-05,1.02E-05,2.08E-06,2.08E-06,6.87E-09,6.87E-09,4.12E-08,4.1187E-08
