Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,-1.11E-20,-8.47E-18,-2.80E-16,5.93E-13,3.82E-10,9.39E-09,9.39E-09,1.40E-05,1.40E-05,2.03E-03,2.03E-03,0.98232,0.0135762,1.39E-05,4.19E-06,4.19E-06,1.93E-08,1.93E-08,2.00E-11,9.39E-09,9.39E-09,2.11E-10,2.11E-10,9.92E-12,9.92E-12,5.78E-09,5.7764E-09
0.01,-2.67E-19,-2.04E-17,2.43E-14,2.11E-11,5.82E-09,7.13E-08,7.13E-08,5.50E-05,5.50E-05,3.97E-03,3.97E-03,0.965091,0.0267643,5.35E-05,1.64E-05,1.64E-05,1.51E-07,1.51E-07,3.08E-10,7.13E-08,7.13E-08,3.23E-09,3.23E-09,1.52E-10,1.52E-10,4.53E-08,4.53102E-08
0.015,1.11E-18,1.74E-15,3.16E-13,1.55E-10,2.82E-08,2.29E-07,2.29E-07,1.22E-04,1.22E-04,5.84E-03,5.84E-03,0.948301,0.0395767,0.000116114,3.61731E-05,3.61731E-05,5.01035E-07,5.01035E-07,1.51E-09,2.29E-07,2.29E-07,1.57E-08,1.57E-08,7.41E-10,7.41E-10,1.50E-07,1.49963E-07
0.02,1.21E-17,1.33E-14,1.74E-12,6.31E-10,8.53E-08,5.15E-07,5.15E-07,2.12E-04,2.12E-04,7.64E-03,7.64E-03,0.931938,0.0520253,0.000199245,6.30085E-05,6.30085E-05,1.16582E-06,1.16582E-06,4.64E-09,5.15E-07,5.15E-07,4.76E-08,4.76E-08,2.26E-09,2.26E-09,3.49E-07,3.48642E-07
0.025,7.91E-17,6.39E-14,6.47E-12,1.86E-09,2.00E-07,9.58E-07,9.58E-07,3.26E-04,3.26E-04,9.37E-03,9.37E-03,0.91599,0.0641213,0.000300577,9.64685E-05,9.64685E-05,2.23531E-06,2.23531E-06,1.10E-08,9.58E-07,9.58E-07,1.12E-07,1.12E-07,5.30E-09,5.30E-09,6.68E-07,6.6797E-07
0.03,3.32E-16,2.23E-13,1.87E-11,4.44E-09,3.97E-07,1.58E-06,1.58E-06,4.62E-04,4.62E-04,1.10E-02,1.10E-02,0.900447,0.0758759,0.000418014,0.000136128,0.000136128,3.79219E-06,3.79219E-06,2.21E-08,1.58E-06,1.58E-06,2.23E-07,2.23E-07,1.06E-08,1.06E-08,1.13E-06,1.13243E-06
0.035,1.11E-15,6.38E-13,4.55E-11,9.25E-09,7.06E-07,2.38E-06,2.38E-06,6.18E-04,6.18E-04,1.26E-02,1.26E-02,0.885298,0.0872993,0.000549641,0.000181582,0.000181582,5.9125E-06,5.9125E-06,3.97E-08,2.38E-06,2.38E-06,3.97E-07,3.97E-07,1.89E-08,1.89E-08,1.76E-06,1.76451E-06
0.04,3.14E-15,1.58E-12,9.80E-11,1.74E-08,1.16E-06,3.39E-06,3.39E-06,7.93E-04,7.93E-04,1.41E-02,1.41E-02,0.870532,0.0984016,0.000693711,0.000232445,0.000232445,8.66595E-06,8.66595E-06,6.57E-08,3.39E-06,3.39E-06,6.52E-07,6.52E-07,3.12E-08,3.12E-08,2.58E-06,2.58484E-06
0.045,7.78E-15,3.49E-12,1.92E-10,3.02E-08,1.78E-06,4.61E-06,4.61E-06,9.87E-04,9.87E-04,1.56E-02,1.56E-02,0.85614,0.109193,0.000848633,0.000288351,0.000288351,1.21165E-05,1.21165E-05,1.02E-07,4.61E-06,4.61E-06,1.01E-06,1.01E-06,4.81E-08,4.81E-08,3.61E-06,3.61229E-06
