Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,8.93E-06,0.0108924,0.985819,0.00326131,1.80E-05,4.87E-09,4.87E-09,7.90E-11,7.90E-11,9.69E-14,9.69E-14,-1.23E-16,-2.78E-18,-3.37E-21,-6.13E-17,-6.13E-17,-1.42E-18,-1.42E-18,-3.43E-21,2.26E-14,2.26E-14,-2.19E-16,-2.19E-16,-7.90E-19,-7.90E-19,-4.17E-18,-4.16852E-18
0.008,3.47E-05,0.0215348,0.971929,0.00643038,7.11E-05,3.74E-08,3.74E-08,1.22E-09,1.22E-09,3.47E-12,3.47E-12,4.41E-15,-6.50E-17,-1.99E-19,2.22E-15,2.22E-15,-3.44E-17,-3.44E-17,-2.06E-19,7.76E-13,7.76E-13,1.09E-14,1.09E-14,-1.40E-17,-1.40E-17,-8.68E-17,-8.67635E-17
0.012,7.59E-05,0.0319336,0.958322,0.00950972,0.000158028,1.21193E-07,1.21193E-07,5.9407E-09,5.9407E-09,2.59009E-11,2.59009E-11,7.96E-14,2.63E-16,-1.62E-20,3.98E-14,3.98E-14,1.32E-16,1.32E-16,-2.01E-20,5.64E-12,5.64E-12,1.71E-13,1.71E-13,8.86E-17,8.86E-17,4.26E-16,4.26484E-16
0.016,0.000131177,0.0420951,0.944994,0.0125018,0.000277484,2.76131E-07,2.76131E-07,1.81339E-08,1.81339E-08,1.06565E-10,1.06565E-10,4.64E-13,2.70E-15,1.62E-18,2.32E-13,2.32E-13,1.37E-15,1.37E-15,1.63E-18,2.27E-11,2.27E-11,9.75E-13,9.75E-13,8.36E-16,8.36E-16,4.21E-15,4.20985E-15
0.02,0.000199245,0.0520252,0.931937,0.0154089,0.000428255,5.18635E-07,5.18635E-07,4.28026E-08,4.28026E-08,3.1568E-10,3.1568E-10,1.74E-12,1.33E-14,1.23E-17,8.70E-13,8.70E-13,6.80E-15,6.80E-15,1.25E-17,6.62E-11,6.62E-11,3.60E-12,3.60E-12,3.96E-15,3.96E-15,2.04E-14,2.04064E-14
0.024,0.000278958,0.0617298,0.919147,0.0182334,0.000609155,8.6226E-07,8.6226E-07,8.5844E-08,8.5844E-08,7.6215E-10,7.6215E-10,5.09E-12,4.81E-14,5.68E-17,2.54E-12,2.54E-12,2.46E-14,2.46E-14,5.80E-17,1.57E-10,1.57E-10,1.04E-11,1.04E-11,1.38E-14,1.38E-14,7.24E-14,7.24305E-14
0.028,0.000369233,0.0712143,0.906617,0.0209776,0.000819037,1.31801E-06,1.31801E-06,1.5389E-07,1.5389E-07,1.59808E-09,1.59808E-09,1.25E-11,1.39E-13,1.92E-16,6.23E-12,6.23E-12,7.13E-14,7.13E-14,1.97E-16,3.23E-10,3.23E-10,2.51E-11,2.51E-11,3.87E-14,3.87E-14,2.06E-13,2.06308E-13
0.032,0.000469063,0.0804844,0.894342,0.0236436,0.00105679,1.89468E-06,1.89468E-06,2.54124E-07,2.54124E-07,3.02298E-09,3.02298E-09,2.71E-11,3.47E-13,5.54E-16,1.35E-11,1.35E-11,1.79E-13,1.79E-13,5.69E-16,6.01E-10,6.01E-10,5.36E-11,5.36E-11,9.41E-14,9.41E-14,5.09E-13,5.08735E-13
0.036,0.000577513,0.0895451,0.882316,0.0262336,0.00132132,2.59919E-06,2.59919E-06,3.94167E-07,3.94167E-07,5.2865E-09,5.2865E-09,5.35E-11,7.72E-13,1.38E-15,2.66E-11,2.66E-11,3.99E-13,3.99E-13,1.43E-15,1.03E-09,1.03E-09,1.04E-10,1.04E-10,2.04E-13,2.04E-13,1.12E-12,1.11956E-12
0.04,0.000693711,0.0984017,0.870535,0.0287497,0.00161161,3.43679E-06,3.43679E-06,5.81945E-07,5.81945E-07,8.69005E-09,8.69005E-09,9.80E-11,1.58E-12,3.14E-15,4.88E-11,4.88E-11,8.17E-13,8.17E-13,3.24E-15,1.67E-09,1.67E-09,1.88E-10,1.88E-10,4.06E-13,4.06E-13,2.26E-12,2.25827E-12
