Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,1.39E-05,0.0135761,0.98232,0.00406212,2.80E-05,9.41E-09,9.41E-09,1.91E-10,1.91E-10,2.96E-13,2.96E-13,-2.85E-16,-8.61E-18,-1.13E-20,-1.41E-16,-1.41E-16,-4.42E-18,-4.42E-18,-1.15E-20,6.87E-14,6.87E-14,-4.64E-16,-4.64E-16,-2.41E-18,-2.41E-18,-1.28E-17,-1.28291E-17
0.01,5.35E-05,0.0267643,0.965091,0.00798111,0.000110425,7.1552E-08,7.1552E-08,2.91506E-09,2.91506E-09,1.05413E-11,1.05413E-11,2.41E-14,-2.64E-17,-2.85E-19,1.21E-14,1.21E-14,-1.57E-17,-1.57E-17,-2.96E-19,2.32E-12,2.32E-12,5.38E-14,5.38E-14,2.15E-18,2.15E-18,-1.65E-17,-1.65312E-17
0.015,0.000116114,0.0395767,0.9483,0.0117618,0.000244637,2.29776E-07,2.29776E-07,1.41289E-08,1.41289E-08,7.7688E-11,7.7688E-11,3.16E-13,1.73E-15,1.09E-18,1.58E-13,1.58E-13,8.76E-16,8.76E-16,1.11E-18,1.67E-11,1.67E-11,6.66E-13,6.66E-13,5.34E-16,5.34E-16,2.69E-15,2.69091E-15
0.02,0.000199245,0.0520252,0.931937,0.0154089,0.000428255,5.18635E-07,5.18635E-07,4.28018E-08,4.28018E-08,3.1571E-10,3.1571E-10,1.74E-12,1.33E-14,1.20E-17,8.70E-13,8.70E-13,6.79E-15,6.79E-15,1.22E-17,6.62E-11,6.62E-11,3.60E-12,3.60E-12,3.96E-15,3.96E-15,2.04E-14,2.03778E-14
0.025,0.000300577,0.0641213,0.91599,0.0189269,0.000658953,9.65305E-07,9.65305E-07,1.00239E-07,1.00239E-07,9.27655E-10,9.27655E-10,6.47E-12,6.38E-14,7.90E-17,3.22E-12,3.22E-12,3.27E-14,3.27E-14,8.07E-17,1.90E-10,1.90E-10,1.31E-11,1.31E-11,1.82E-14,1.82E-14,9.58E-14,9.5751E-14
0.03,0.000418014,0.0758758,0.900448,0.0223203,0.000934496,1.59076E-06,1.59076E-06,1.99516E-07,1.99516E-07,2.22251E-09,2.22251E-09,1.87E-11,2.23E-13,3.32E-16,9.30E-12,9.30E-12,1.15E-13,1.15E-13,3.41E-16,4.46E-10,4.46E-10,3.71E-11,3.71E-11,6.13E-14,6.13E-14,3.29E-13,3.29099E-13
0.035,0.000549641,0.0872993,0.8853,0.0255932,0.00125274,2.41077E-06,2.41077E-06,3.54994E-07,3.54994E-07,4.62641E-09,4.62641E-09,4.55E-11,6.38E-13,1.11E-15,2.27E-11,2.27E-11,3.30E-13,3.30E-13,1.15E-15,9.08E-10,9.08E-10,8.89E-11,8.89E-11,1.70E-13,1.70E-13,9.28E-13,9.2783E-13
0.04,0.000693711,0.0984017,0.870535,0.0287497,0.00161161,3.43679E-06,3.43679E-06,5.81945E-07,5.81945E-07,8.69005E-09,8.69005E-09,9.80E-11,1.58E-12,3.14E-15,4.88E-11,4.88E-11,8.17E-13,8.17E-13,3.24E-15,1.67E-09,1.67E-09,1.88E-10,1.88E-10,4.06E-13,4.06E-13,2.26E-12,2.25812E-12
0.045,0.000848633,0.109193,0.856144,0.0317939,0.00200913,4.67665E-06,4.67665E-06,8.96215E-07,8.96215E-07,1.50925E-08,1.50925E-08,1.92E-10,3.49E-12,7.78E-15,9.55E-11,9.55E-11,1.81E-12,1.81E-12,8.07E-15,2.84E-09,2.84E-09,3.62E-10,3.62E-10,8.68E-13,8.68E-13,4.92E-12,4.92293E-12
