Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0.00160977,0.991176,0.0072021,1.19E-05,4.38E-08,8.98E-12,8.98E-12,9.66E-14,9.66E-14,-9.37E-17,-9.37E-17,-1.25E-18,-8.85E-21,-4.94E-24,-6.25E-19,-6.25E-19,-4.48E-21,-4.48E-21,-4.92E-24,-1.70E-17,-1.70E-17,-2.60E-18,-2.60E-18,-2.75E-21,-2.75E-21,-1.38E-20,-1.38161E-20
0.008,0.00310552,0.982608,0.0142389,4.70E-05,3.46E-07,1.38E-10,1.38E-10,3.51E-12,3.51E-12,6.89E-15,6.89E-15,-5.56E-18,-2.50E-19,-4.02E-22,-2.74E-18,-2.74E-18,-1.29E-19,-1.29E-19,-4.11E-22,1.59E-15,1.59E-15,-7.57E-18,-7.57E-18,-6.72E-20,-6.72E-20,-3.66E-19,-3.65564E-19
0.012,0.00449474,0.974285,0.0211147,0.00010449,1.15E-06,6.75E-10,6.75E-10,2.62E-11,2.62E-11,9.31E-14,9.31E-14,2.42E-16,8.12E-19,3.22E-22,1.21E-16,1.21E-16,4.09E-19,4.09E-19,3.27E-22,2.04E-14,2.04E-14,5.21E-16,5.21E-16,2.59E-19,2.59E-19,1.28E-18,1.28255E-18
0.016,0.00578442,0.966196,0.0278335,0.000183475,2.71E-06,2.06E-09,2.06E-09,1.07E-10,1.07E-10,5.19E-13,5.19E-13,1.89E-15,9.05E-18,4.23E-21,9.42E-16,9.42E-16,4.58E-18,4.58E-18,4.23E-21,1.12E-13,1.12E-13,4.00E-15,4.00E-15,2.85E-18,2.85E-18,1.42E-17,1.42277E-17
0.02,0.00698113,0.958331,0.0343994,0.000283168,5.22E-06,4.87E-09,4.87E-09,3.18E-10,3.18E-10,1.94E-12,1.94E-12,9.13E-15,6.17E-17,5.31E-20,4.56E-15,4.56E-15,3.14E-17,3.14E-17,5.40E-20,4.12E-13,4.12E-13,1.90E-14,1.90E-14,1.85E-17,1.85E-17,9.46E-17,9.4623E-17
0.024,0.00809098,0.950681,0.0408161,0.000402786,8.92E-06,9.77E-09,9.77E-09,7.69E-10,7.69E-10,5.65E-12,5.65E-12,3.21E-14,2.62E-16,2.73E-19,1.60E-14,1.60E-14,1.34E-16,1.34E-16,2.78E-19,1.18E-12,1.18E-12,6.60E-14,6.60E-14,7.68E-17,7.68E-17,3.99E-16,3.98522E-16
0.028,0.00911971,0.943237,0.0470873,0.000541569,1.40E-05,1.75E-08,1.75E-08,1.61E-09,1.61E-09,1.39E-11,1.39E-11,9.25E-14,8.96E-16,1.11E-18,4.61E-14,4.61E-14,4.59E-16,4.59E-16,1.14E-18,2.86E-12,2.86E-12,1.88E-13,1.88E-13,2.55E-16,2.55E-16,1.34E-15,1.34357E-15
0.032,0.0100727,0.935991,0.0532167,0.000698786,2.07E-05,2.90E-08,2.90E-08,3.06E-09,3.06E-09,3.01E-11,3.01E-11,2.30E-13,2.56E-15,3.63E-18,1.15E-13,1.15E-13,1.31E-15,1.31E-15,3.72E-18,6.11E-12,6.11E-12,4.61E-13,4.61E-13,7.10E-16,7.10E-16,3.79E-15,3.79117E-15
0.036,0.0109549,0.928934,0.0592077,0.000873725,2.91E-05,4.49E-08,4.49E-08,5.36E-09,5.36E-09,5.94E-11,5.94E-11,5.12E-13,6.43E-15,1.03E-17,2.55E-13,2.55E-13,3.32E-15,3.32E-15,1.06E-17,1.19E-11,1.19E-11,1.01E-12,1.01E-12,1.74E-15,1.74E-15,9.44E-15,9.43615E-15
0.04,0.0117711,0.92206,0.0650637,0.0010657,3.95E-05,6.64E-08,6.64E-08,8.82E-09,8.82E-09,1.09E-10,1.09E-10,1.04E-12,1.46E-14,2.59E-17,5.20E-13,5.20E-13,7.55E-15,7.55E-15,2.67E-17,2.14E-11,2.14E-11,2.04E-12,2.04E-12,3.87E-15,3.87E-15,2.12E-14,2.121E-14
0.044,0.0125257,0.91536,0.070788,0.00127404,5.20E-05,9.42E-08,9.42E-08,1.38E-08,1.38E-08,1.88E-10,1.88E-10,1.98E-12,3.06E-14,5.96E-17,9.88E-13,9.88E-13,1.59E-14,1.59E-14,6.16E-17,3.65E-11,3.65E-11,3.83E-12,3.83E-12,7.93E-15,7.93E-15,4.40E-14,4.40066E-14
0.048,0.0132226,0.908829,0.0763837,0.00149811,6.67E-05,1.29E-07,1.29E-07,2.08E-08,2.08E-08,3.08E-10,3.08E-10,3.56E-12,6.00E-14,1.27E-16,1.77E-12,1.77E-12,3.12E-14,3.12E-14,1.32E-16,5.90E-11,5.90E-11,6.79E-12,6.79E-12,1.52E-14,1.52E-14,8.54E-14,8.53825E-14
0.052,0.0138659,0.902459,0.0818539,0.00173728,8.39E-05,1.73E-07,1.73E-07,3.01E-08,3.01E-08,4.85E-10,4.85E-10,6.08E-12,1.11E-13,2.55E-16,3.02E-12,3.02E-12,5.80E-14,5.80E-14,2.64E-16,9.16E-11,9.16E-11,1.15E-11,1.15E-11,2.75E-14,2.75E-14,1.57E-13,1.5673E-13
0.056,0.0144591,0.896244,0.0872016,0.00199094,0.000103579,2.2543E-07,2.2543E-07,4.24788E-08,4.24788E-08,7.36815E-10,7.36815E-10,9.96E-12,1.97E-13,4.83E-16,4.95E-12,4.95E-12,1.03E-13,1.03E-13,5.02E-16,1.37E-10,1.37E-10,1.86E-11,1.86E-11,4.76E-14,4.76E-14,2.74E-13,2.74311E-13
0.06,0.0150055,0.89018,0.0924296,0.00225852,0.000125987,2.8831E-07,2.8831E-07,5.83775E-08,5.83775E-08,1.08602E-09,1.08602E-09,1.57E-11,3.34E-13,8.75E-16,7.83E-12,7.83E-12,1.75E-13,1.75E-13,9.12E-16,2.00E-10,2.00E-10,2.90E-11,2.90E-11,7.91E-14,7.91E-14,4.61E-13,4.6099E-13
0.064,0.0155083,0.884259,0.0975408,0.00253944,0.000151213,3.62326E-07,3.62326E-07,7.8478E-08,7.8478E-08,1.55878E-09,1.55878E-09,2.41E-11,5.47E-13,1.52E-15,1.20E-11,1.20E-11,2.87E-13,2.87E-13,1.59E-15,2.83E-10,2.83E-10,4.40E-11,4.40E-11,1.27E-13,1.27E-13,7.48E-13,7.47615E-13
0.068,0.0159704,0.878478,0.102538,0.00283315,0.000179377,4.48399E-07,4.48399E-07,1.03479E-07,1.03479E-07,2.1858E-09,2.1858E-09,3.60E-11,8.69E-13,2.56E-15,1.79E-11,1.79E-11,4.56E-13,4.56E-13,2.68E-15,3.91E-10,3.91E-10,6.49E-11,6.49E-11,1.97E-13,1.97E-13,1.18E-12,1.17538E-12
0.072,0.0163946,0.872831,0.107424,0.00313914,0.000210592,5.47435E-07,5.47435E-07,1.34129E-07,1.34129E-07,3.00245E-09,3.00245E-09,5.24E-11,1.34E-12,4.17E-15,2.60E-11,2.60E-11,7.05E-13,7.05E-13,4.37E-15,5.30E-10,5.30E-10,9.34E-11,9.34E-11,2.97E-13,2.97E-13,1.80E-12,1.79759E-12
0.076,0.0167834,0.867313,0.1122,0.00345687,0.000244963,6.6032E-07,6.6032E-07,1.71228E-07,1.71228E-07,4.04912E-09,4.04912E-09,7.47E-11,2.02E-12,6.60E-15,3.71E-11,3.71E-11,1.06E-12,1.06E-12,6.93E-15,7.05E-10,7.05E-10,1.32E-10,1.32E-10,4.38E-13,4.38E-13,2.68E-12,2.68261E-12
0.08,0.0171392,0.861919,0.116871,0.00378587,0.000282592,7.87905E-07,7.87905E-07,2.15624E-07,2.15624E-07,5.3714E-09,5.3714E-09,1.04E-10,2.98E-12,1.02E-14,5.18E-11,5.18E-11,1.57E-12,1.57E-12,1.07E-14,9.23E-10,9.23E-10,1.82E-10,1.82E-10,6.33E-13,6.33E-13,3.92E-12,3.9162E-12
