Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,1.92E-08,2.80E-05,0.00406212,0.98232,0.0135761,6.7507E-06,6.7507E-06,1.82494E-07,1.82494E-07,4.21089E-10,4.21089E-10,5.92E-13,-7.65E-16,-3.42E-18,2.96E-13,2.96E-13,-4.16E-16,-4.16E-16,-3.51E-18,9.42E-11,9.42E-11,1.33E-12,1.33E-12,-1.16E-16,-1.16E-16,-9.13E-16,-9.12765E-16
0.01,1.49E-07,0.000110425,0.00798111,0.965091,0.0267641,2.53981E-05,2.53981E-05,1.3899E-06,1.3899E-06,6.40725E-09,6.40725E-09,2.11E-11,8.65E-14,1.87E-17,1.06E-11,1.06E-11,4.36E-14,4.36E-14,1.77E-17,1.39E-09,1.39E-09,4.51E-11,4.51E-11,2.81E-14,2.81E-14,1.38E-13,1.37983E-13
0.015,4.87E-07,0.000244638,0.0117618,0.9483,0.0395761,0.000053815,0.000053815,4.46892E-06,4.46892E-06,3.10313E-08,3.10313E-08,1.56E-10,1.07E-12,8.95E-16,7.76E-11,7.76E-11,5.43E-13,5.43E-13,9.08E-16,6.55E-09,6.55E-09,3.24E-10,3.24E-10,3.21E-13,3.21E-13,1.64E-12,1.64047E-12
0.02,1.12E-06,0.00042826,0.0154089,0.931937,0.0520237,9.02025E-05,9.02025E-05,1.00996E-05,1.00996E-05,9.3939E-08,9.3939E-08,6.32E-10,5.85E-12,6.67E-15,3.15E-10,3.15E-10,2.99E-12,2.99E-12,6.80E-15,1.93E-08,1.93E-08,1.29E-09,1.29E-09,1.69E-12,1.69E-12,8.83E-12,8.82835E-12
0.025,2.12E-06,0.000658968,0.0189269,0.91599,0.0641177,0.00013304,0.00013304,1.8822E-05,1.8822E-05,2.19814E-07,2.19814E-07,1.86E-09,2.17E-11,3.11E-14,9.25E-10,9.25E-10,1.11E-11,1.11E-11,3.19E-14,4.40E-08,4.40E-08,3.70E-09,3.70E-09,6.00E-12,6.00E-12,3.21E-11,3.20998E-11
0.03,3.55E-06,0.000934533,0.0223203,0.900448,0.0758687,0.000181042,0.000181042,3.10581E-05,3.10581E-05,4.37133E-07,4.37133E-07,4.44E-09,6.26E-11,1.08E-13,2.21E-09,2.21E-09,3.23E-11,3.23E-11,1.11E-13,8.53E-08,8.53E-08,8.68E-09,8.68E-09,1.67E-11,1.67E-11,9.11E-11,9.1144E-11
0.035,5.47E-06,0.00125281,0.0255932,0.8853,0.0872866,0.000233126,0.000233126,4.71314E-05,4.71314E-05,7.77085E-07,7.77085E-07,9.25E-09,1.53E-10,3.05E-13,4.60E-09,4.60E-09,7.92E-11,7.92E-11,3.16E-13,1.48E-07,1.48E-07,1.77E-08,1.77E-08,3.92E-11,3.92E-11,2.19E-10,2.18538E-10
0.04,7.92E-06,0.00161175,0.0287497,0.870535,0.0983812,0.000288379,0.000288379,6.72825E-05,6.72825E-05,1.27273E-06,1.27273E-06,1.74E-08,3.29E-10,7.49E-13,8.64E-09,8.64E-09,1.71E-10,1.71E-10,7.77E-13,2.36E-07,2.36E-07,3.26E-08,3.26E-08,8.14E-11,8.14E-11,4.63E-10,4.63132E-10
0.045,1.09E-05,0.00200937,0.0317939,0.856144,0.109162,0.000346033,0.000346033,9.16825E-05,9.16825E-05,1.95822E-06,1.95822E-06,3.02E-08,6.45E-10,1.64E-12,1.50E-08,1.50E-08,3.37E-10,3.37E-10,1.71E-12,3.54E-07,3.54E-07,5.55E-08,5.55E-08,1.54E-10,1.54E-10,8.93E-10,8.93345E-10
