Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,3.85E-17,2.15E-13,1.04E-10,1.25E-07,5.10E-05,7.79E-04,7.79E-04,4.95E-01,4.95E-01,3.59E-03,3.59E-03,1.19E-05,4.37E-08,1.81E-11,5.93E-06,5.93E-06,2.21E-08,2.21E-08,1.82E-11,7.79E-04,7.79E-04,2.55E-05,2.55E-05,1.39E-08,1.39E-08,6.89E-08,6.89345E-08
0.008,3.83E-15,7.10E-12,1.60E-09,9.60E-07,0.000194292,0.001456735,0.001456735,0.4897595,0.4897595,0.00708465,0.00708465,4.69E-05,3.45E-07,2.82E-10,2.34E-05,2.34E-05,1.76E-07,1.76E-07,2.86E-10,1.46E-03,1.46E-03,9.70E-05,9.70E-05,1.04E-07,1.04E-07,5.31E-07,5.311E-07
0.012,4.30E-14,5.25E-11,7.85E-09,3.12E-06,0.000417021,0.002045125,0.002045125,0.484904,0.484904,0.01048055,0.01048055,0.000103971,1.15E-06,1.40E-09,5.18E-05,5.18E-05,5.89E-07,5.89E-07,1.43E-09,2.05E-03,2.05E-03,2.08E-04,2.08E-04,3.28E-07,3.28E-07,1.73E-06,1.72713E-06
0.016,2.34E-13,2.15E-10,2.40E-08,7.10E-06,0.000707801,0.00255543,0.00255543,0.4802065,0.4802065,0.01378285,0.01378285,0.000182272,2.69E-06,4.32E-09,9.08E-05,9.08E-05,1.39E-06,1.39E-06,4.43E-09,2.56E-03,2.56E-03,3.53E-04,3.53E-04,7.28E-07,7.28E-07,3.95E-06,3.94681E-06
0.02,8.64E-13,6.37E-10,5.66E-08,1.34E-05,0.00105671,0.00299734,0.00299734,0.475655,0.475655,0.01699425,0.01699425,0.000280866,5.19E-06,1.03E-08,1.40E-04,1.40E-04,2.69E-06,2.69E-06,1.06E-08,3.00E-03,3.00E-03,5.27E-04,5.27E-04,1.33E-06,1.33E-06,7.44E-06,7.4355E-06
0.024,2.49E-12,1.54E-09,1.14E-07,2.22E-05,0.00145509,0.00337934,0.00337934,0.4712385,0.4712385,0.02011755,0.02011755,0.000398884,8.86E-06,2.09E-08,1.98E-04,1.98E-04,4.62E-06,4.62E-06,2.16E-08,3.38E-03,3.38E-03,7.25E-04,7.25E-04,2.16E-06,2.16E-06,1.24E-05,1.23998E-05
0.028,6.08E-12,3.23E-09,2.03E-07,3.40E-05,0.00189537,0.003708885,0.003708885,0.466948,0.466948,0.0231552,0.0231552,0.000535487,1.39E-05,3.78E-08,2.66E-04,2.66E-04,7.28E-06,7.28E-06,3.94E-08,3.71E-03,3.71E-03,9.44E-04,9.44E-04,3.22E-06,3.22E-06,1.90E-05,1.90123E-05
0.032,1.31E-11,6.12E-09,3.36E-07,4.89E-05,0.00237092,0.003992505,0.003992505,0.4627745,0.4627745,0.0261097,0.0261097,0.000689867,2.05E-05,6.31E-08,3.42E-04,3.42E-04,1.08E-05,1.08E-05,6.59E-08,3.99E-03,3.99E-03,1.18E-03,1.18E-03,4.51E-06,4.51E-06,2.74E-05,2.74161E-05
0.036,2.57E-11,1.07E-08,5.21E-07,6.72E-05,0.002876,0.00423593,0.00423593,0.458711,0.458711,0.0289833,0.0289833,0.000861245,2.88E-05,9.88E-08,4.27E-04,4.27E-04,1.52E-05,1.52E-05,1.04E-07,4.24E-03,4.24E-03,1.43E-03,1.43E-03,6.04E-06,6.04E-06,3.77E-05,3.77283E-05
