Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
0.005,7.27E-23,1.63E-18,1.22E-15,1.96E-12,1.09E-09,2.67E-08,2.67E-08,3.93E-05,3.93E-05,1.33E-07,1.33E-07,2.78E-10,7.52E-13,2.33E-16,9.37E-06,9.37E-06,3.94E-05,3.94E-05,5.45E-08,9.58E-04,9.58E-04,4.94E-01,4.94E-01,9.58E-04,9.58E-04,4.48E-03,0.004483745
0.01,1.52E-19,3.20E-16,8.30E-14,5.99E-11,1.62E-08,1.96E-07,1.96E-07,1.48E-04,1.48E-04,1.02E-06,1.02E-06,4.26E-09,2.37E-11,1.61E-14,3.73E-05,3.73E-05,1.48E-04,1.48E-04,4.08E-07,1.76E-03,1.76E-03,4.87E-01,4.87E-01,1.76E-03,1.76E-03,8.83E-03,0.00883075
0.015,4.10E-18,5.38E-15,9.01E-13,4.29E-10,7.65E-08,6.08E-07,6.08E-07,3.14E-04,3.14E-04,3.28E-06,3.28E-06,2.07E-08,1.74E-10,1.77E-13,8.33E-05,8.33E-05,3.15E-04,3.15E-04,1.29E-06,2.43E-03,2.43E-03,4.81E-01,4.81E-01,2.43E-03,2.43E-03,1.30E-02,0.01304595
0.02,3.95E-17,3.86E-14,4.80E-12,1.70E-09,2.26E-07,1.33E-06,1.33E-06,5.27E-04,5.27E-04,7.44E-06,7.44E-06,6.29E-08,7.06E-10,9.58E-13,1.47E-04,1.47E-04,5.30E-04,5.30E-04,2.88E-06,3.00E-03,3.00E-03,4.76E-01,4.76E-01,3.00E-03,3.00E-03,1.71E-02,0.01713395
0.025,2.24E-16,1.75E-13,1.74E-11,4.89E-09,5.15E-07,2.39E-06,2.39E-06,7.78E-04,7.78E-04,1.39E-05,1.39E-05,1.48E-07,2.08E-09,3.51E-12,2.28E-04,2.28E-04,7.83E-04,7.83E-04,5.28E-06,3.47E-03,3.47E-03,4.70E-01,4.70E-01,3.47E-03,3.47E-03,2.11E-02,0.02109915
0.03,9.18E-16,5.99E-13,4.92E-11,1.15E-08,9.99E-07,3.81E-06,3.81E-06,1.06E-03,1.06E-03,2.30E-05,2.30E-05,2.94E-07,5.00E-09,1.00E-11,3.26E-04,3.26E-04,1.07E-03,1.07E-03,8.59E-06,3.86E-03,3.86E-03,4.65E-01,4.65E-01,3.86E-03,3.86E-03,2.49E-02,0.02494555
0.035,2.99E-15,1.68E-12,1.18E-10,2.34E-08,1.73E-06,5.59E-06,5.59E-06,1.37E-03,1.37E-03,3.50E-05,3.50E-05,5.25E-07,1.05E-08,2.43E-11,4.40E-04,4.40E-04,1.38E-03,1.38E-03,1.28E-05,4.18E-03,4.18E-03,4.60E-01,4.60E-01,4.18E-03,4.18E-03,2.87E-02,0.0286771
0.04,8.28E-15,4.09E-12,2.49E-10,4.31E-08,2.77E-06,7.72E-06,7.72E-06,1.69E-03,1.69E-03,5.00E-05,5.00E-05,8.62E-07,1.97E-08,5.21E-11,5.69E-04,5.69E-04,1.71E-03,1.71E-03,1.81E-05,4.44E-03,4.44E-03,4.55E-01,4.55E-01,4.44E-03,4.44E-03,3.23E-02,0.0322974
0.045,2.02E-14,8.89E-12,4.79E-10,7.34E-08,4.17E-06,1.02E-05,1.02E-05,2.04E-03,2.04E-03,6.84E-05,6.84E-05,1.33E-06,3.43E-08,1.01E-10,7.13E-04,7.13E-04,2.06E-03,2.06E-03,2.42E-05,4.66E-03,4.66E-03,4.50E-01,4.50E-01,4.66E-03,4.66E-03,3.58E-02,0.0358099
