Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
0.004,7.23E-25,4.25E-21,3.23E-18,6.93E-15,5.71E-12,2.20E-10,2.20E-10,5.34E-07,5.34E-07,1.24E-07,1.24E-07,2.07E-10,4.56E-13,1.25E-16,1.11E-04,1.11E-04,2.99E-02,2.99E-02,5.00E-05,2.45E-05,2.45E-05,2.99E-02,2.99E-02,4.40E-01,4.40E-01,1.11E-04,0.000111133
0.008,4.08E-22,1.11E-18,4.02E-16,4.21E-13,1.71E-10,3.25E-09,3.25E-09,3.99E-06,3.99E-06,9.62E-07,9.62E-07,3.21E-09,1.42E-11,7.83E-15,4.22E-04,4.22E-04,5.59E-02,5.59E-02,0.000187201,8.97235E-05,8.97235E-05,0.0559415,0.0559415,0.3870825,0.3870825,0.000423391,0.000423391
0.012,1.51E-20,2.73E-17,6.52E-15,4.52E-12,1.21E-09,1.52E-08,1.52E-08,1.26E-05,1.26E-05,3.14E-06,3.14E-06,1.58E-08,1.05E-10,8.65E-14,9.05E-04,9.05E-04,7.85E-02,7.85E-02,0.000394284,0.000185086,0.000185086,0.078537,0.078537,0.340714,0.340714,0.000908055,0.000908055
0.016,1.92E-19,2.60E-16,4.63E-14,2.39E-11,4.78E-09,4.45E-08,4.45E-08,2.80E-05,2.80E-05,7.19E-06,7.19E-06,4.83E-08,4.32E-10,4.71E-13,1.53E-03,1.53E-03,9.81E-02,9.81E-02,0.000656578,0.000301943,0.000301943,0.098134,0.098134,0.2999915,0.2999915,0.00154001,0.00154001
0.02,1.36E-18,1.48E-15,2.09E-13,8.61E-11,1.37E-08,1.00E-07,1.00E-07,5.12E-05,5.12E-05,1.36E-05,1.36E-05,1.14E-07,1.28E-09,1.74E-12,2.28E-03,2.28E-03,1.15E-01,1.15E-01,0.000961581,0.000433326,0.000433326,0.1151045,0.1151045,0.2642265,0.2642265,0.00229728,0.00229728
0.024,6.67E-18,6.05E-15,7.11E-13,2.43E-10,3.18E-08,1.93E-07,1.93E-07,8.29E-05,8.29E-05,2.27E-05,2.27E-05,2.30E-07,3.11E-09,5.03E-12,3.14E-03,3.14E-03,1.30E-01,1.30E-01,0.00129869,0.00057365,0.00057365,0.1297745,0.1297745,0.232815,0.232815,0.00316066,0.00316066
0.028,2.54E-17,1.98E-14,1.98E-12,5.77E-10,6.44E-08,3.31E-07,3.31E-07,1.24E-04,1.24E-04,3.49E-05,3.49E-05,4.15E-07,6.55E-09,1.23E-11,4.08E-03,4.08E-03,1.42E-01,1.42E-01,0.00165897,0.000718485,0.000718485,0.14243,0.14243,0.205226,0.205226,0.00411338,0.00411338
0.032,8.05E-17,5.50E-14,4.80E-12,1.21E-09,1.18E-07,5.23E-07,5.23E-07,1.73E-04,1.73E-04,5.03E-05,5.03E-05,6.87E-07,1.24E-08,2.65E-11,5.09E-03,5.09E-03,1.53E-01,1.53E-01,0.00203487,0.000864345,0.000864345,0.1533225,0.1533225,0.1809935,0.1809935,0.00514075,0.00514075
0.036,2.21E-16,1.35E-13,1.04E-11,2.32E-09,1.99E-07,7.78E-07,7.78E-07,2.32E-04,2.32E-04,6.94E-05,6.94E-05,1.07E-06,2.19E-08,5.22E-11,6.17E-03,6.17E-03,1.63E-01,1.63E-01,0.00242012,0.001008545,0.001008545,0.162671,0.162671,0.159709,0.159709,0.00623005,0.00623005
0.04,5.44E-16,2.98E-13,2.06E-11,4.13E-09,3.17E-07,1.10E-06,1.10E-06,2.99E-04,2.99E-04,9.21E-05,9.21E-05,1.58E-06,3.61E-08,9.52E-11,7.29E-03,7.29E-03,1.71E-01,1.71E-01,0.00280945,0.001149035,0.001149035,0.17067,0.17067,0.141013,0.141013,0.0073701,0.0073701
0.044,1.22E-15,6.10E-13,3.82E-11,6.92E-09,4.79E-07,1.50E-06,1.50E-06,3.75E-04,3.75E-04,1.19E-04,1.19E-04,2.25E-06,5.66E-08,1.63E-10,8.44E-03,8.44E-03,1.78E-01,1.78E-01,0.00319856,0.0012843,0.0012843,0.1774875,0.1774875,0.12459,0.12459,0.0085511,0.0085511
0.048,2.55E-15,1.17E-12,6.68E-11,1.10E-08,6.95E-07,1.97E-06,1.97E-06,4.59E-04,4.59E-04,1.49E-04,1.49E-04,3.10E-06,8.53E-08,2.67E-10,9.63E-03,9.63E-03,1.83E-01,1.83E-01,0.00358388,0.001413245,0.001413245,0.183272,0.183272,0.110163,0.110163,0.0097647,0.0097647
0.052,4.99E-15,2.12E-12,1.11E-10,1.69E-08,9.75E-07,2.52E-06,2.52E-06,5.50E-04,5.50E-04,1.84E-04,1.84E-04,4.15E-06,1.24E-07,4.19E-10,1.08E-02,1.08E-02,1.88E-01,1.88E-01,0.00396255,0.00153514,0.00153514,0.1881545,0.1881545,0.0974885,0.0974885,0.01100345,0.01100345
