Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
0.005,-8.34E-23,-1.43E-19,-1.85E-17,-1.51E-15,2.91E-12,1.04E-10,1.04E-10,2.02E-07,2.02E-07,4.19E-06,4.19E-06,1.16E-08,4.00E-11,1.38E-14,2.03E-03,2.03E-03,1.42E-05,1.42E-05,1.94E-08,6.75E-06,6.75E-06,6.78E-03,6.78E-03,6.76E-06,6.76E-06,4.91E-01,0.49116
0.01,-2.72E-21,-9.65E-19,2.06E-16,2.84E-13,9.98E-11,1.54E-09,1.54E-09,1.54E-06,1.54E-06,1.64E-05,1.64E-05,9.06E-08,6.27E-10,5.07E-13,3.97E-03,3.97E-03,5.64E-05,5.64E-05,1.51E-07,2.54E-05,2.54E-05,1.34E-02,1.34E-02,2.54E-05,2.54E-05,4.83E-01,0.482545
0.015,1.27E-20,2.62E-17,5.67E-15,3.29E-12,7.18E-10,7.27E-09,7.27E-09,4.96E-06,4.96E-06,3.62E-05,3.62E-05,3.00E-07,3.11E-09,3.77E-12,5.84E-03,5.84E-03,1.26E-04,1.26E-04,4.98E-07,5.37E-05,5.37E-05,1.97E-02,1.97E-02,5.39E-05,5.39E-05,4.74E-01,0.4741495
0.02,2.41E-19,2.83E-16,4.19E-14,1.77E-11,2.86E-09,2.15E-08,2.15E-08,1.12E-05,1.12E-05,6.31E-05,6.31E-05,6.97E-07,9.67E-09,1.55E-11,7.64E-03,7.64E-03,2.22E-04,2.22E-04,1.15E-06,9.00E-05,9.00E-05,2.59E-02,2.59E-02,9.05E-05,9.05E-05,4.66E-01,0.465967
0.025,1.81E-18,1.66E-15,1.93E-13,6.42E-11,8.24E-09,4.90E-08,4.90E-08,2.10E-05,2.10E-05,9.67E-05,9.67E-05,1.34E-06,2.32E-08,4.60E-11,9.37E-03,9.37E-03,3.45E-04,3.45E-04,2.20E-06,1.33E-04,1.33E-04,3.19E-02,3.19E-02,1.34E-04,1.34E-04,4.58E-01,0.457992
0.03,9.32E-18,6.95E-15,6.61E-13,1.82E-10,1.94E-08,9.52E-08,9.52E-08,3.48E-05,3.48E-05,1.37E-04,1.37E-04,2.26E-06,4.73E-08,1.11E-10,1.10E-02,1.10E-02,4.93E-04,4.93E-04,3.70E-06,1.80E-04,1.80E-04,3.77E-02,3.77E-02,1.82E-04,1.82E-04,4.50E-01,0.450219
0.035,3.59E-17,2.29E-14,1.86E-12,4.37E-10,3.96E-08,1.65E-07,1.65E-07,5.29E-05,5.29E-05,1.82E-04,1.82E-04,3.53E-06,8.60E-08,2.34E-10,1.26E-02,1.26E-02,6.65E-04,6.65E-04,5.74E-06,2.32E-04,2.32E-04,4.34E-02,4.34E-02,2.34E-04,2.34E-04,4.43E-01,0.442642
0.04,1.15E-16,6.41E-14,4.52E-12,9.26E-10,7.30E-08,2.65E-07,2.65E-07,7.57E-05,7.57E-05,2.34E-04,2.34E-04,5.17E-06,1.44E-07,4.44E-10,1.41E-02,1.41E-02,8.60E-04,8.60E-04,8.35E-06,2.87E-04,2.87E-04,4.88E-02,4.88E-02,2.90E-04,2.90E-04,4.35E-01,0.4352565
0.045,3.18E-16,1.58E-13,9.85E-12,1.79E-09,1.25E-07,3.98E-07,3.98E-07,1.03E-04,1.03E-04,2.90E-04,2.90E-04,7.22E-06,2.27E-07,7.79E-10,1.56E-02,1.56E-02,1.08E-03,1.08E-03,1.16E-05,3.44E-04,3.44E-04,5.42E-02,5.42E-02,3.49E-04,3.49E-04,4.28E-01,0.4280565
0.05,7.84E-16,3.52E-13,1.97E-11,3.20E-09,2.00E-07,5.70E-07,5.70E-07,1.36E-04,1.36E-04,3.52E-04,3.52E-04,9.73E-06,3.40E-07,1.28E-09,1.70E-02,1.70E-02,1.32E-03,1.32E-03,1.55E-05,4.03E-04,4.03E-04,5.93E-02,5.93E-02,4.09E-04,4.09E-04,4.21E-01,0.4210375
