Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,-2.86E-18,-6.07E-16,5.91E-13,8.42E-10,3.65E-07,6.74E-06,6.74E-06,6.77E-03,6.77E-03,4.89E-01,4.89E-01,0.00405341,2.80E-05,1.92E-08,2.02E-03,2.02E-03,1.40E-05,1.40E-05,1.91E-08,6.74E-06,6.74E-06,2.02E-07,2.02E-07,9.49E-09,9.49E-09,4.19E-06,4.1884E-06
0.01,3.48E-17,9.04E-14,2.12E-11,1.28E-08,2.77E-06,2.53E-05,2.53E-05,1.33E-02,1.33E-02,4.79E-01,4.79E-01,0.00794763,0.000110113,1.48E-07,3.96E-03,3.96E-03,5.48E-05,5.48E-05,1.48E-07,2.53E-05,2.53E-05,1.54E-06,1.54E-06,7.27E-08,7.27E-08,1.64E-05,1.64175E-05
0.015,9.06E-16,1.07E-12,1.56E-10,6.21E-08,8.91E-06,5.35E-05,5.35E-05,1.96E-02,1.96E-02,4.68E-01,4.68E-01,0.0116885,0.000243615,4.85E-07,5.81E-03,5.81E-03,1.21E-04,1.21E-04,4.83E-07,5.35E-05,5.35E-05,4.96E-06,4.96E-06,2.35E-07,2.35E-07,3.62E-05,3.62072E-05
0.02,6.76E-15,5.87E-12,6.32E-10,1.88E-07,2.01E-05,8.94E-05,8.94E-05,2.57E-02,2.57E-02,4.58E-01,4.58E-01,0.0152816,0.000425889,1.11E-06,7.58E-03,7.58E-03,2.11E-04,2.11E-04,1.11E-06,8.94E-05,8.94E-05,1.12E-05,1.12E-05,5.35E-07,5.35E-07,6.31E-05,6.31075E-05
0.025,3.12E-14,2.17E-11,1.86E-09,4.40E-07,3.74E-05,1.32E-04,1.32E-04,3.16E-02,3.16E-02,4.49E-01,4.49E-01,0.0187324,0.000654432,2.11E-06,9.27E-03,9.27E-03,3.24E-04,3.24E-04,2.09E-06,1.32E-04,1.32E-04,2.10E-05,2.10E-05,1.00E-06,1.00E-06,9.67E-05,9.66965E-05
0.03,1.08E-13,6.26E-11,4.45E-09,8.74E-07,6.17E-05,1.79E-04,1.79E-04,3.73E-02,3.73E-02,4.39E-01,4.39E-01,0.0220461,0.000926849,3.53E-06,1.09E-02,1.09E-02,4.58E-04,4.58E-04,3.49E-06,1.79E-04,1.79E-04,3.48E-05,3.48E-05,1.66E-06,1.66E-06,1.37E-04,0.000136578
0.035,3.06E-13,1.53E-10,9.25E-09,1.55E-06,9.36E-05,2.30E-04,2.30E-04,4.28E-02,4.28E-02,4.30E-01,4.30E-01,0.0252278,0.00124084,5.43E-06,1.24E-02,1.24E-02,6.12E-04,6.12E-04,5.37E-06,2.30E-04,2.30E-04,5.29E-05,5.29E-05,2.53E-06,2.53E-06,1.82E-04,0.000182376
0.04,7.49E-13,3.29E-10,1.74E-08,2.55E-06,0.000133417,0.000283498,0.000283498,0.04806115,0.04806115,0.4213475,0.4213475,0.0282824,0.00159422,7.85E-06,1.39E-02,1.39E-02,7.85E-04,7.85E-04,7.75E-06,2.84E-04,2.84E-04,7.57E-05,7.57E-05,3.63E-06,3.63E-06,2.34E-04,0.000233741
0.045,1.64E-12,6.45E-10,3.02E-08,3.92E-06,0.000181601,0.000339433,0.000339433,0.053183,0.053183,0.4127375,0.4127375,0.0312145,0.00198487,1.08E-05,1.53E-02,1.53E-02,9.75E-04,9.75E-04,1.07E-05,3.39E-04,3.39E-04,1.03E-04,1.03E-04,4.96E-06,4.96E-06,2.90E-04,0.00029034
0.05,3.31E-12,1.17E-09,4.93E-08,5.74E-06,0.00023831,0.000396837,0.000396837,0.0581295,0.0581295,0.404372,0.404372,0.0340286,0.00241078,1.44E-05,1.67E-02,1.67E-02,1.18E-03,1.18E-03,1.42E-05,3.97E-04,3.97E-04,1.36E-04,1.36E-04,6.54E-06,6.54E-06,3.52E-04,0.00035186
0.055,6.20E-12,2.01E-09,7.66E-08,8.08E-06,0.000303646,0.000455168,0.000455168,0.062908,0.062908,0.396244,0.396244,0.0367293,0.00287002,1.86E-05,1.80E-02,1.80E-02,1.40E-03,1.40E-03,1.83E-05,4.55E-04,4.55E-04,1.74E-04,1.74E-04,8.37E-06,8.37E-06,4.18E-04,0.000418006
0.06,1.10E-11,3.28E-09,1.14E-07,1.10E-05,0.000377631,0.00051398,0.00051398,0.0675225,0.0675225,0.388346,0.388346,0.0393206,0.00336075,2.34E-05,1.92E-02,1.92E-02,1.64E-03,1.64E-03,2.30E-05,5.14E-04,5.14E-04,2.17E-04,2.17E-04,1.04E-05,1.04E-05,4.88E-04,0.000488497
0.065,1.85E-11,5.14E-09,1.64E-07,1.46E-05,0.000460223,0.000572895,0.000572895,0.071979,0.071979,0.380671,0.380671,0.0418066,0.00388119,2.89E-05,2.04E-02,2.04E-02,1.89E-03,1.89E-03,2.83E-05,5.73E-04,5.73E-04,2.66E-04,2.66E-04,1.28E-05,1.28E-05,5.63E-04,0.00056307
0.07,2.99E-11,7.77E-09,2.30E-07,1.89E-05,0.000551328,0.000631615,0.000631615,0.076283,0.076283,0.3732125,0.3732125,0.0441914,0.00442965,3.50E-05,2.15E-02,2.15E-02,2.16E-03,2.16E-03,3.43E-05,6.32E-04,6.32E-04,3.20E-04,3.20E-04,1.54E-05,1.54E-05,6.41E-04,0.000641475
0.075,4.67E-11,1.14E-08,3.13E-07,2.40E-05,0.000650807,0.00068988,0.00068988,0.0804385,0.0804385,0.365964,0.365964,0.0464786,0.00500451,4.18E-05,2.25E-02,2.25E-02,2.43E-03,2.43E-03,4.08E-05,6.90E-04,6.90E-04,3.79E-04,3.79E-04,1.82E-05,1.82E-05,7.23E-04,0.00072347
0.08,7.06E-11,1.62E-08,4.18E-07,2.99E-05,0.000758491,0.000747485,0.000747485,0.084451,0.084451,0.358919,0.358919,0.048672,0.00560422,4.92E-05,2.36E-02,2.36E-02,2.72E-03,2.72E-03,4.80E-05,7.48E-04,7.48E-04,4.43E-04,4.43E-04,2.13E-05,2.13E-05,8.09E-04,0.00080884
0.085,1.04E-10,2.27E-08,5.47E-07,3.67E-05,0.000874181,0.00080427,0.00080427,0.0883245,0.0883245,0.352072,0.352072,0.050775,0.0062273,5.73E-05,2.45E-02,2.45E-02,3.02E-03,3.02E-03,5.58E-05,8.05E-04,8.05E-04,5.13E-04,5.13E-04,2.46E-05,2.46E-05,8.97E-04,0.00089737
0.09,1.49E-10,3.10E-08,7.04E-07,4.45E-05,0.000997658,0.00086009,0.00086009,0.0920635,0.0920635,0.345416,0.345416,0.0527911,0.00687231,6.60E-05,2.55E-02,2.55E-02,3.32E-03,3.32E-03,6.42E-05,8.61E-04,8.61E-04,5.87E-04,5.87E-04,2.81E-05,2.81E-05,9.89E-04,0.000988855
0.095,2.10E-10,4.15E-08,8.92E-07,5.33E-05,0.00112869,0.00091485,0.00091485,0.095672,0.095672,0.3389465,0.3389465,0.0547235,0.0075379,7.54E-05,2.63E-02,2.63E-02,3.64E-03,3.64E-03,7.33E-05,9.15E-04,9.15E-04,6.67E-04,6.67E-04,3.19E-05,3.19E-05,1.08E-03,0.00108311
0.1,2.90E-10,5.48E-08,1.12E-06,6.32E-05,0.00126702,0.00096846,0.00096846,0.099154,0.099154,0.332657,0.332657,0.0565755,0.00822277,8.54E-05,2.72E-02,2.72E-02,3.96E-03,3.96E-03,8.29E-05,9.69E-04,9.69E-04,7.51E-04,7.51E-04,3.59E-05,3.59E-05,1.18E-03,0.001179945
0.105,3.94E-10,7.12E-08,1.38E-06,7.42E-05,0.00141241,0.001020865,0.001020865,0.102514,0.102514,0.326543,0.326543,0.05835,0.00892566,9.60E-05,2.80E-02,2.80E-02,4.29E-03,4.29E-03,9.31E-05,1.02E-03,1.02E-03,8.40E-04,8.40E-04,4.01E-05,4.01E-05,1.28E-03,0.001279205
0.11,5.26E-10,9.14E-08,1.68E-06,8.63E-05,0.00156459,0.00107201,0.00107201,0.1057555,0.1057555,0.3205985,0.3205985,0.06005,0.0096454,0.000107227,0.02872935,0.02872935,0.00463276,0.00463276,0.000103793,0.00107304,0.00107304,0.0009341,0.0009341,4.44468E-05,4.44468E-05,0.001380715,0.001380715
0.115,6.93E-10,1.16E-07,2.03E-06,9.96E-05,0.00172329,0.001121865,0.001121865,0.108882,0.108882,0.3148185,0.3148185,0.0616784,0.0103808,0.000119057,0.02945145,0.02945145,0.00497782,0.00497782,0.000115079,0.001123055,0.001123055,0.00103252,0.00103252,4.90356E-05,4.90356E-05,0.001484325,0.001484325
0.12,9.01E-10,1.45E-07,2.44E-06,0.000114153,0.00188827,0.001170415,0.001170415,0.1118975,0.1118975,0.3091985,0.3091985,0.0632378,0.0111309,0.000131465,0.03013805,0.03013805,0.0053288,0.0053288,0.000126893,0.001171775,0.001171775,0.001135375,0.001135375,5.38105E-05,5.38105E-05,0.00158989,0.00158989
0.125,1.16E-09,1.80E-07,2.89E-06,0.000129952,0.00205924,0.00121764,0.00121764,0.1148045,0.1148045,0.3037335,0.3037335,0.064731,0.0118945,0.000144436,0.03079065,0.03079065,0.00568515,0.00568515,0.000139215,0.00121919,0.00121919,0.001242545,0.001242545,5.87625E-05,5.87625E-05,0.001697275,0.001697275
0.13,1.47E-09,2.21E-07,3.41E-06,0.000147042,0.00223596,0.00126354,0.00126354,0.117607,0.117607,0.298419,0.298419,0.0661605,0.0126707,0.000157952,0.03141065,0.03141065,0.00604645,0.00604645,0.000152028,0.001265295,0.001265295,0.001353905,0.001353905,6.38845E-05,6.38845E-05,0.001806345,0.001806345
