Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,6.88E-13,1.66E-09,4.78E-07,0.000342818,0.0736256,0.426031,0.426031,0.03677445,0.03677445,0.000171053,0.000171053,4.77E-07,1.66E-09,6.87E-13,2.38E-07,2.38E-07,8.36E-10,8.36E-10,6.92E-13,3.74E-05,3.74E-05,1.02E-06,1.02E-06,5.27E-10,5.27E-10,2.61E-09,2.61302E-09
0.01,2.10E-11,2.54E-08,3.63E-06,0.00128979,0.13556,0.363146,0.363146,0.0676395,0.0676395,0.000642205,0.000642205,3.62E-06,2.54E-08,2.09E-11,1.81E-06,1.81E-06,1.29E-08,1.29E-08,2.12E-11,1.34E-04,1.34E-04,7.53E-06,7.53E-06,7.63E-09,7.63E-09,3.90E-08,3.90117E-08
0.015,1.52E-10,1.23E-07,1.17E-05,0.00273289,0.187572,0.3096825,0.3096825,0.0934945,0.0934945,0.00135787,0.00135787,1.16E-05,1.23E-07,1.51E-10,5.79E-06,5.79E-06,6.30E-08,6.30E-08,1.54E-10,2.71E-04,2.71E-04,2.34E-05,2.34E-05,3.50E-08,3.50E-08,1.84E-07,1.84465E-07
0.02,6.09E-10,3.74E-07,2.63E-05,0.00458076,0.231163,0.2642275,0.2642275,0.115104,0.115104,0.00227116,0.00227116,2.62E-05,3.72E-07,6.06E-10,1.30E-05,1.30E-05,1.92E-07,1.92E-07,6.23E-10,4.33E-04,4.33E-04,5.10E-05,5.10E-05,1.00E-07,1.00E-07,5.45E-07,5.4503E-07
0.025,1.77E-09,8.77E-07,4.90E-05,0.00675616,0.267611,0.2255805,0.2255805,0.133116,0.133116,0.003342565,0.003342565,4.86E-05,8.71E-07,1.76E-09,2.42E-05,2.42E-05,4.52E-07,4.52E-07,1.82E-09,6.10E-04,6.10E-04,9.18E-05,9.18E-05,2.23E-07,2.23E-07,1.25E-06,1.24512E-06
0.03,4.20E-09,1.75E-06,8.08E-05,0.00919388,0.297999,0.1927205,0.1927205,0.148081,0.148081,0.004538815,0.004538815,8.00E-05,1.73E-06,4.18E-09,3.98E-05,3.98E-05,9.04E-07,9.04E-07,4.34E-09,7.91E-04,7.91E-04,1.46E-04,1.46E-04,4.20E-07,4.20E-07,2.42E-06,2.4181E-06
0.035,8.67E-09,3.11E-06,0.000122429,0.0118389,0.32325,0.164779,0.164779,0.1604655,0.1604655,0.00583195,0.00583195,0.000121085,3.08E-06,8.61E-09,6.01E-05,6.01E-05,1.61E-06,1.61E-06,8.97E-09,9.73E-04,9.73E-04,2.15E-04,2.15E-04,7.08E-07,7.08E-07,4.20E-06,4.19938E-06
0.04,1.61E-08,5.10E-06,0.000174533,0.0146448,0.344147,0.1410195,0.1410195,0.170666,0.170666,0.0071985,0.0071985,0.000172347,5.05E-06,1.60E-08,8.55E-05,8.55E-05,2.66E-06,2.66E-06,1.68E-08,1.15E-03,1.15E-03,2.97E-04,2.97E-04,1.10E-06,1.10E-06,6.72E-06,6.72135E-06
0.045,2.78E-08,7.85E-06,0.000237498,0.0175727,0.361355,0.1208145,0.1208145,0.179019,0.179019,0.00861875,0.00861875,0.000234154,7.76E-06,2.75E-08,1.16E-04,1.16E-04,4.10E-06,4.10E-06,2.89E-08,1.32E-03,1.32E-03,3.91E-04,3.91E-04,1.61E-06,1.61E-06,1.01E-05,1.011E-05
